orden,intervencion_id,meeting_id,texto_repetido_training,reunion_en_training,prob_hawkish,prob_dovish,prob_neutral,pred,es_relevante_pred,score_pred,etiqueta_humana,es_relevante_humano,fecha_reunion,coincide,senal_decision,fase
1,RPM-2014-03-13:6107:1,RPM-2014-03-13,False,True,0.1506051196641832,0.5266172119585711,0.3227776683772456,dovish,1,-0.3760120922943879,hawkish,1,2014-03-13,False,True,2013_14_bajas
2,RPM-2011-04-12:3955:1,RPM-2011-04-12,False,True,0.0114142332707667,0.0183071050028636,0.9702786617263696,neutral,1,-0.0068928717320969,neutral,0,2011-04-12,True,False,2011_alza
3,RPM-2010-03-18:2971:1,RPM-2010-03-18,False,True,0.0654473545742967,0.1656658148406787,0.7688868305850245,neutral,1,-0.100218460266382,neutral,1,2010-03-18,True,True,2010_alza_emergencia
4,RPM-2011-07-14:4127:1,RPM-2011-07-14,False,True,0.0186585030065351,0.0774921092156897,0.9038493877777752,neutral,1,-0.0588336062091545,neutral,1,2011-07-14,True,False,2011_alza
5,RPM-2005-09-08:380:1,RPM-2005-09-08,False,True,0.1569909683535715,0.1604317461977499,0.6825772854486785,neutral,1,-0.0034407778441783,neutral,1,2005-09-08,True,True,2006_alza_fin
6,RPM-2010-02-11:2905:2,RPM-2010-02-11,False,True,0.0176066000492724,0.0583731040627988,0.9240202958879288,neutral,1,-0.0407665040135264,neutral,1,2010-02-11,True,False,2010_alza_emergencia
7,RPM-2006-12-14:1010:4,RPM-2006-12-14,False,True,0.1355653042041114,0.1385645324879779,0.7258701633079107,neutral,1,-0.0029992282838665,neutral,1,2006-12-14,True,False,2006_alza_fin
8,RPM-2008-09-04:2096:1,RPM-2008-09-04,False,True,0.4448018276974949,0.4434375634709345,0.1117606088315706,hawkish,1,0.0013642642265603,hawkish,1,2008-09-04,True,True,2008_crisis_alza
9,RPM-2007-10-11:1504:1,RPM-2007-10-11,False,True,0.1042772097610702,0.0563433436935599,0.8393794465453698,neutral,1,0.0479338660675103,neutral,1,2007-10-11,True,True,2007_mixto
10,RPM-2011-07-14:4207:1,RPM-2011-07-14,False,True,0.2947404809006406,0.4406649789028233,0.2645945401965361,dovish,1,-0.1459244980021826,hawkish,1,2011-07-14,False,True,2011_alza
11,RPM-2009-04-09:2471:1,RPM-2009-04-09,False,True,0.0234694814270452,0.0688848577069263,0.9076456608660284,neutral,1,-0.0454153762798811,neutral,1,2009-04-09,True,False,2009_bajas
12,RPM-2012-03-15:4722:4,RPM-2012-03-15,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2012-03-15,True,False,2012_13_mantiene
13,RPM-2008-04-10:1776:1,RPM-2008-04-10,False,True,0.4064204574496126,0.242681008350399,0.3508985341999884,hawkish,1,0.1637394490992135,neutral,1,2008-04-10,False,True,2008_crisis_alza
14,RPM-2010-01-14:2846:1,RPM-2010-01-14,False,True,0.0293401107677732,0.0565406514207653,0.9141192378114612,neutral,1,-0.0272005406529921,neutral,1,2010-01-14,True,True,2010_alza_emergencia
15,RPM-2007-09-13:1456:4,RPM-2007-09-13,False,True,0.024773104783635,0.0487069140120919,0.9265199812042731,neutral,1,-0.0239338092284569,neutral,1,2007-09-13,True,False,2007_mixto
16,RPM-2015-01-15:6574:1,RPM-2015-01-15,False,True,0.010948138511397,0.0155099057952084,0.9735419556933946,neutral,1,-0.0045617672838114,neutral,1,2015-01-15,True,True,2015_quiebre
17,RPM-2006-06-15:714:1,RPM-2006-06-15,False,True,0.0230422037440352,0.0861970315467846,0.8907607647091801,neutral,1,-0.0631548278027493,neutral,1,2006-06-15,True,False,2006_alza_fin
18,RPM-2014-06-12:6267:1,RPM-2014-06-12,False,True,0.0139275868013149,0.0507069128494636,0.9353655003492214,neutral,1,-0.0367793260481487,neutral,1,2014-06-12,True,True,2013_14_bajas
19,RPM-2005-10-11:402:1,RPM-2005-10-11,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2005-10-11,True,False,2006_alza_fin
20,RPM-2011-10-13:4360:2,RPM-2011-10-13,False,True,0.0202912303213749,0.0435013637129126,0.9362074059657124,neutral,1,-0.0232101333915376,neutral,1,2011-10-13,True,True,2011_alza
21,RPM-2013-01-17:5309:1,RPM-2013-01-17,False,True,0.0188870031514442,0.0437184004043422,0.9373945964442136,neutral,1,-0.024831397252898,neutral,1,2013-01-17,True,False,2012_13_mantiene
22,RPM-2010-02-11:2891:5,RPM-2010-02-11,False,True,0.0154418921382377,0.0605247072179373,0.9240334006438248,neutral,1,-0.0450828150796996,neutral,1,2010-02-11,True,False,2010_alza_emergencia
23,RPM-2009-04-09:2445:4,RPM-2009-04-09,False,True,0.0346611381794695,0.0392040024423376,0.9261348593781928,neutral,1,-0.004542864262868,neutral,1,2009-04-09,True,True,2009_bajas
24,RPM-2010-12-16:3631:1,RPM-2010-12-16,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2010-12-16,True,False,2010_alza_emergencia
25,RPM-2007-01-11:1044:1,RPM-2007-01-11,False,True,0.2247673064372733,0.2563067919349865,0.5189259016277401,neutral,1,-0.0315394854977131,neutral,1,2007-01-11,True,True,2007_mixto
26,RPM-2011-05-12:4053:2,RPM-2011-05-12,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2011-05-12,True,False,2011_alza
27,RPM-2013-06-13:5580:1,RPM-2013-06-13,False,True,0.0474518280590724,0.1027466001073627,0.8498015718335649,neutral,1,-0.0552947720482902,neutral,1,2013-06-13,True,False,2012_13_mantiene
28,RPM-2008-12-11:2254:1,RPM-2008-12-11,False,True,0.4816804732469587,0.4405779184713794,0.077741608281662,hawkish,1,0.0411025547755792,neutral,1,2008-12-11,False,True,2008_crisis_alza
29,RPM-2005-11-10:458:1,RPM-2005-11-10,False,True,0.0262326710352675,0.0347828268123855,0.9389845021523467,neutral,1,-0.008550155777118,neutral,1,2005-11-10,True,True,2006_alza_fin
30,RPM-2014-05-15:6190:1,RPM-2014-05-15,False,True,0.0372593761859278,0.2581556425422427,0.7045849812718294,neutral,1,-0.2208962663563149,neutral,1,2014-05-15,True,True,2013_14_bajas
31,RPM-2011-11-15:4409:1,RPM-2011-11-15,False,True,0.0204690745405491,0.1132459307582606,0.8662849947011902,neutral,1,-0.0927768562177115,neutral,1,2011-11-15,True,True,2011_alza
32,RPM-2011-11-15:4450:1,RPM-2011-11-15,False,True,0.1122001540070953,0.4933846191110755,0.394415226881829,dovish,1,-0.3811844651039802,dovish,1,2011-11-15,True,True,2011_alza
33,RPM-2013-10-17:5842:2,RPM-2013-10-17,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2013-10-17,True,True,2013_14_bajas
34,RPM-2008-06-10:1881:1,RPM-2008-06-10,False,True,0.0323545407916098,0.0390994302082817,0.9285460290001084,neutral,1,-0.0067448894166718,neutral,1,2008-06-10,True,False,2008_crisis_alza
35,RPM-2007-06-14:1302:1,RPM-2007-06-14,False,True,0.1378838187776318,0.4331789194088687,0.4289372618134994,dovish,1,-0.2952951006312369,dovish,1,2007-06-14,True,True,2007_mixto
36,RPM-2010-06-15:3155:1,RPM-2010-06-15,False,True,0.0270313142182206,0.0616730219634129,0.9112956638183664,neutral,1,-0.0346417077451923,neutral,1,2010-06-15,True,True,2010_alza_emergencia
37,RPM-2015-09-15:6988:1,RPM-2015-09-15,False,True,0.0165697682771871,0.039669089055027,0.943761142667786,neutral,1,-0.0230993207778398,neutral,1,2015-09-15,True,False,2015_quiebre
38,RPM-2012-04-17:4753:1,RPM-2012-04-17,True,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2012-04-17,True,False,2012_13_mantiene
39,RPM-2008-02-07:1668:2,RPM-2008-02-07,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2008-02-07,True,False,2008_crisis_alza
40,RPM-2009-02-12:2318:1,RPM-2009-02-12,False,True,0.0091021538734429,0.0089236981188325,0.9819741480077244,neutral,1,0.0001784557546104,neutral,1,2009-02-12,True,False,2009_bajas
41,RPM-2015-01-15:6561:2,RPM-2015-01-15,False,True,0.0617336110851501,0.1031614808257899,0.8351049080890599,neutral,1,-0.0414278697406397,neutral,1,2015-01-15,True,True,2015_quiebre
42,RPM-2011-12-13:4464:1,RPM-2011-12-13,False,True,0.02373520357489,0.0335286278131909,0.9427361686119192,neutral,1,-0.0097934242383008,neutral,1,2011-12-13,True,True,2011_alza
43,RPM-2008-12-11:2243:1,RPM-2008-12-11,False,True,0.1282429646276515,0.5376227891881044,0.3341342461842442,dovish,1,-0.4093798245604528,dovish,1,2008-12-11,True,True,2008_crisis_alza
44,RPM-2011-01-13:3661:1,RPM-2011-01-13,False,True,0.0075382448215726,0.0262044687175439,0.9662572864608834,neutral,1,-0.0186662238959713,neutral,1,2011-01-13,True,False,2011_alza
45,RPM-2009-06-16:2566:3,RPM-2009-06-16,False,True,0.0287181769720613,0.0489229390273788,0.9223588840005598,neutral,1,-0.0202047620553175,neutral,1,2009-06-16,True,True,2009_bajas
46,RPM-2015-07-14:6876:1,RPM-2015-07-14,False,True,0.0350862076511873,0.1067613200438509,0.8581524723049618,neutral,1,-0.0716751123926636,neutral,1,2015-07-14,True,True,2015_quiebre
47,RPM-2012-10-18:5119:1,RPM-2012-10-18,False,True,0.0240419673091728,0.1092618742164284,0.8666961584743986,neutral,1,-0.0852199069072555,neutral,1,2012-10-18,True,True,2012_13_mantiene
48,RPM-2010-05-13:3092:1,RPM-2010-05-13,False,True,0.0328076321232222,0.0682515477080648,0.8989408201687129,neutral,1,-0.0354439155848425,neutral,1,2010-05-13,True,False,2010_alza_emergencia
49,RPM-2012-08-16:5027:1,RPM-2012-08-16,False,True,0.1524166828175394,0.1356911151269254,0.7118922020555353,neutral,1,0.016725567690614,dovish,1,2012-08-16,False,True,2012_13_mantiene
50,RPM-2011-12-13:4476:3,RPM-2011-12-13,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,1,2011-12-13,True,False,2011_alza
51,RPM-2013-10-17:5834:1,RPM-2013-10-17,False,True,0.0,0.0,1.0,neutral,0,0.0,neutral,0,2013-10-17,True,False,2013_14_bajas
