intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2005-01-11:24:1,data/etiquetas/etiquetas_piloto_r1.csv,Jorge Desormeaux Jiménez,neutral,1,neutral,1,neutral,1,compatible,alta,"un tema que se ha discutido a través del Informe de Política Monetaria, pero que es bueno que se vea de nuevo, es aquel de la evolución del tipo de cambio nominal que tenemos prevista",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,d652ba37bfef960f5f936ad5385a3f99f8fd58d8628fd32b64a9575271cdaf6d,354
RPM-2005-01-11:45:1,data/etiquetas/etiquetas_piloto_r1.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,"recuerda que en ediciones pasadas, de los últimos meses, sí han habido opciones de 50 puntos base",Compatible con N: comentario sobre edición de la comunicación (R2). La unidad no adopta una dirección monetaria propia.,b1a4a703a24186603d7e3ffbf8bb9157af20a04e40aa6992c838e3de3e1a62b7,184
RPM-2005-01-11:48:1,data/etiquetas/etiquetas_piloto_r1.csv,Jorge Desormeaux Jiménez,neutral,1,neutral,1,neutral,1,compatible,alta,"piensa que realmente va a ser dicho documento el que va a recibir el escrutinio público. En su opinión, no le parece que sea esta Acta lo que llame la atención",Compatible con N: tema de transparencia y publicación (R2). La unidad no adopta una dirección monetaria propia.,9c738dfa87f6bbeae3fb5de08feba2011902ce92ca0110231fb235b37a835a4d,463
RPM-2005-02-10:60:1,data/etiquetas/etiquetas_piloto_r1.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"Estas noticias, sin embargo, son todavía insuficientes como para motivar una revisión significativa del cuadro de proyecciones de mediano plazo",Compatible con N: exposición informativa del staff (R5). La unidad no adopta una dirección monetaria propia.,d3f787600705c820eea83cef21c553b0a7c169e87fb57b7d74ac62c4622d3c40,806
RPM-2005-02-10:73:1,data/etiquetas/etiquetas_piloto_r1.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: ofrecimiento de la palabra; sin contenido evaluable,b6e6f46deb394df36a53af6d15cd16d1d885cdb519a80c3ef523ae0bd4e2986b,105
RPM-2005-02-10:87:1,data/etiquetas/etiquetas_piloto_r1.csv,Pablo García Silva,neutral,1,neutral,1,neutral,1,compatible,alta,"la tasa de participación ha subido en torno a un punto porcentual en seis meses, lo cual es completamente inusual en el largo plazo",Compatible con N: dato de mercado laboral sin implicancia (R2). La unidad no adopta una dirección monetaria propia.,d9b8b7927a5f946135b6989df6054d77934b2d0d39e87e810fc2edb889324db3,374
RPM-2005-02-10:118:1,data/etiquetas/etiquetas_piloto_r1.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: reanudación de sesión,6c497b388ca66b875d1f547ec0cd65201b1c95a2f2acd33df7b29d556e5bda2a,150
RPM-2005-02-10:121:1,data/etiquetas/etiquetas_piloto_r1.csv,Rodrigo Valdés Pulido,hawkish,1,hawkish,1,hawkish,1,compatible,media,resulta recomendable continuar transitando hacia una política monetaria más neutral desde el actual nivel considerablemente expansivo,Compatible con hawkish: staff con recomendación de endurecimiento gradual (R5). La dirección está respaldada en la unidad y no depende solo del menú o fase.,909e4d232377b44d6504ce78ff059476ef40e57c159335d830df309f42fc75c1,3940
RPM-2005-02-10:124:1,data/etiquetas/etiquetas_piloto_r1.csv,Klaus Schmidt-Hebbel Dunker,neutral,1,neutral,1,neutral,1,compatible,media,"se proyecta una normalización de la tasa de política monetaria, llegando a 5,0% a fines de este año",Compatible con N: reporte de trayectoria del escenario base; no recomendación (R5). La unidad no adopta una dirección monetaria propia.,6c2e1c77afd6543937813ca029845363ea35a8e959d3ba423e160e5d0ea70f6d,2291
RPM-2005-03-10:165:1,data/etiquetas/etiquetas_piloto_r1.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,media,"parecería que tendremos mayores niveles inflacionarios que en otros ciclos, lo que puede ser bueno porque el tipo de cambio real se apreciaría",Compatible con N: discusión de mecanismos sin dirección de política (R2). La unidad no adopta una dirección monetaria propia.,e40a33f4fcb969d11a58aa86bb1127e068080a0869d8fefbd0c925083951988a,435
