intervencion_id,meeting_id,etiqueta_v3,incluir_evaluacion,estrato_recuperacion,pred_c_89,pred_wc_89,pred_c_600,pred_wc_600,pred_wc_m1,pred_wc_m2,pred_wc_m3,pred_wc_m4,pred_wc_m5
RPM-2009-06-16:2573:1,RPM-2009-06-16,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-03-17:3851:1,RPM-2011-03-17,hawkish,true,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-03-17:3859:1,RPM-2011-03-17,hawkish,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-12-13:5266:1,RPM-2012-12-13,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2005-11-10:468:1,RPM-2005-11-10,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-10-12:904:1,RPM-2006-10-12,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2012-06-14:4866:1,RPM-2012-06-14,neutral,true,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2005-08-11:364:1,RPM-2005-08-11,hawkish,true,candidato_hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish,hawkish
RPM-2014-03-13:6058:1,RPM-2014-03-13,neutral,true,neutral_dificil,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2014-06-12:6293:1,RPM-2014-06-12,hawkish,true,neutral_dificil,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2008-06-10:1860:3,RPM-2008-06-10,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2013-08-13:5717:3,RPM-2013-08-13,neutral,true,candidato_dovish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2015-03-19:6673:1,RPM-2015-03-19,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2009-05-07:2548:1,RPM-2009-05-07,dovish,true,candidato_dovish,hawkish,dovish,dovish,dovish,dovish,dovish,dovish,dovish,dovish
RPM-2008-12-11:2252:1,RPM-2008-12-11,dovish,true,candidato_dovish,hawkish,hawkish,hawkish,dovish,dovish,dovish,hawkish,dovish,dovish
RPM-2008-12-11:2219:2,RPM-2008-12-11,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2011-11-15:4448:1,RPM-2011-11-15,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2007-08-09:1361:1,RPM-2007-08-09,neutral,true,candidato_hawkish,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
RPM-2006-06-15:698:1,RPM-2006-06-15,neutral,true,aleatorio_contextual,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral,neutral
