synthetic_id,fecha_ficticia,etiqueta_provisional,familia_provisional,texto,cita_textual_origen,justificacion_origen,grupo_texto_normalizado,estado_revision_v3,autorizado_entrenamiento
SYNTH_00001,2021-10-14,hawkish,Sobrecalentamiento del consumo privado por liquidez de retiros de fondos de pensiones e IFE,"El Consejo analizó en profundidad la evolución del consumo privado, el que ha sorprendido al alza respecto de lo proyectado en el IPoM. Un Consejero argumentó que la liquidez proveniente de los retiros de fondos de pensiones, junto con las transferencias fiscales asociadas al IFE, ha impulsado un aumento significativo del gasto de los hogares que excede la capacidad de expansión de la oferta. Todos los Consejeros coincidieron en que este dinamismo del consumo, en un contexto de holguras de capacidad decrecientes, presiona al alza la inflación y eleva el riesgo de que la brecha de actividad se torne positiva de manera persistente. Por unanimidad, el Consejo acordó intensificar el retiro del estímulo monetario, elevando la TPM por sobre lo anticipado y reafirmando que la política monetaria deberá ubicarse en terreno contractivo para asegurar la convergencia de la inflación al 3% en dos años plazo.","Por unanimidad, el Consejo acordó intensificar el retiro del estímulo monetario, elevando la TPM por sobre lo anticipado y reafirmando que la política monetaria deberá ubicarse en terreno contractivo","La unidad respalda intensificar el retiro del estímulo y llevar la TPM a terreno contractivo para frenar el sobrecalentamiento del consumo, lo que constituye un endurecimiento monetario explícito (Hawkish).",502b0f8d67d381bd,pendiente,no
SYNTH_00002,2023-06-20,hawkish,Rechazo a iniciar recortes prematuros de la TPM ante resistencia inflacionaria en servicios,"El Consejo evaluó la opción de dar inicio al proceso de recortes de la tasa de instancia, en un contexto donde la inflación total ha descendido pero las medidas subyacentes SAE sin volátiles permanecen elevadas. Un Consejero argumentó que la inflación de servicios ha mostrado una resistencia mayor a la prevista, reflejando presiones de demanda todavía presentes, y que un relajamiento prematuro podría comprometer el anclaje de las expectativas inflacionarias y obligar a un endurecimiento posterior más costoso. Todos los Consejeros coincidieron en que, si bien el escenario central del IPoM contempla recortes en el horizonte de proyección, no existen aún antecedentes suficientes para iniciarlos. El Consejo acordó por unanimidad mantener la TPM y reafirmó que cualquier relajamiento será gradual y condicionado a la evolución de la inflación SAE.","Un Consejero argumentó que la inflación de servicios ha mostrado una resistencia mayor a la prevista, reflejando presiones de demanda todavía presentes, y que un relajamiento prematuro podría comprometer el anclaje de las expectativas inflacionarias","La unidad rechaza iniciar recortes prematuros por temor a comprometer el anclaje inflacionario, lo que constituye una oposición fundamentada al relajamiento monetario (Hawkish).",d5259d0b2dd10536,pendiente,no
SYNTH_00003,2024-01-25,dovish,Disminución de las presiones de costos salariales y anclaje consolidado de las expectativas inflacionarias,"El Consejo constató que las presiones de costos salariales han disminuido de manera consistente con lo proyectado en el IPoM, y que las expectativas de inflación a dos años plazo se mantienen firmemente ancladas en torno a la meta de 3%. Un Consejero argumentó que la evolución del mercado laboral muestra menores holguras y que la brecha de actividad se ha tornado negativa, lo que otorga espacio para continuar reduciendo la TPM sin comprometer la convergencia inflacionaria. Todos los Consejeros coincidieron en que el escenario central se ha materializado conforme a lo previsto y que el proceso de recortes puede mantenerse. El Consejo acordó por unanimidad reducir la tasa de instancia en 100 puntos base, reafirmando que la política monetaria continuará el proceso de normalización a un ritmo que dependerá de la evolución de los antecedentes.","El Consejo acordó por unanimidad reducir la tasa de instancia en 100 puntos base, reafirmando que la política monetaria continuará el proceso de normalización a un ritmo que dependerá de la evolución de los antecedentes.","La unidad respalda reducir la TPM en 100 puntos base y continuar el proceso de normalización a la baja, lo que constituye expansión monetaria explícita (Dovish).",2f0942b432cb926b,pendiente,no
SYNTH_00004,2024-06-18,neutral,TPM ubicada en nivel neutral consistente con la convergencia proyectada en el escenario central del IPoM,"El Consejo evaluó que la TPM se encuentra actualmente en un nivel consistente con la tasa neutral nominal, estimada en el rango de 3.5% a 4.5%, y que dicho nivel es congruente con la convergencia de la inflación al 3% en dos años plazo según el escenario central del IPoM. Un Consejero argumentó que, en el margen, los riesgos al alza provenientes del tipo de cambio y la divergencia de la Fed se balancean con los riesgos a la baja asociados a la holgura de actividad. Todos los Consejeros coincidieron en que no se requieren ajustes adicionales en el corto plazo, aunque el Consejo se mantendrá alerta a la evolución de los antecedentes. El Consejo acordó por unanimidad mantener la tasa de instancia en su nivel actual.","El Consejo evaluó que la TPM se encuentra actualmente en un nivel consistente con la tasa neutral nominal, estimada en el rango de 3.5% a 4.5%, y que dicho nivel es congruente con la convergencia de la inflación al 3% en dos años plazo","La unidad acuerda mantener la TPM por encontrarse en nivel neutral consistente con la convergencia proyectada, sin adoptar un sesgo direccional identificable hacia el alza o la baja (Neutral, acuerdo de mantención).",b7e70cc9ccb46b9d,pendiente,no
SYNTH_00005,2022-06-14,hawkish,Aceleración del ritmo de alzas de TPM hacia terreno fuertemente contractivo para frenar segunda vuelta,"El Consejo analizó la persistencia de las presiones inflacionarias y la creciente evidencia de efectos de segunda vuelta en la formación de precios y salarios. Un Consejero argumentó que las medidas de inflación SAE sin volátiles continúan sorprendiendo al alza y que las expectativas de inflación a dos años plazo se han desanclado respecto de la meta, lo que hace necesario acelerar el ritmo de alzas de la TPM hacia terreno fuertemente contractivo. Todos los Consejeros coincidieron en que postergar el endurecimiento elevaría el costo final del proceso de convergencia. Por unanimidad, el Consejo acordó aumentar la tasa de instancia en 125 puntos base, llevándola a un nivel claramente restrictivo, y señaló que nuevos aumentos serán necesarios hasta que la inflación muestre una trayectoria clara de convergencia al 3%.","Por unanimidad, el Consejo acordó aumentar la tasa de instancia en 125 puntos base, llevándola a un nivel claramente restrictivo, y señaló que nuevos aumentos serán necesarios hasta que la inflación muestre una trayectoria clara de convergencia al 3%.","La unidad respalda acelerar las alzas de la TPM hacia terreno fuertemente contractivo y anuncia nuevos aumentos, lo que constituye un endurecimiento monetario explícito (Hawkish).",17e9c22ff9544e44,pendiente,no
SYNTH_00006,2022-09-06,hawkish,Aceleración del ritmo de alzas de TPM hacia terreno fuertemente contractivo para frenar segunda vuelta,"El Consejo revisó la evolución reciente de la inflación y concluyó que los efectos de segunda vuelta se han consolidado, reflejándose en la persistencia de la inflación de servicios y en expectativas de inflación que superan la meta en el horizonte de política. Un Consejero argumentó que la magnitud del shock inflacionario, agravado por el traspaso del tipo de cambio a precios internos, requiere llevar la TPM a un nivel fuertemente contractivo con mayor celeridad que la prevista en el IPoM previo. Todos los Consejeros coincidieron en que la prioridad es asegurar la convergencia de la inflación al 3% en dos años plazo, aun a costa de una desaceleración transitoria de la actividad. Por unanimidad, el Consejo acordó aumentar la tasa de instancia en 100 puntos base, alcanzando el máximo histórico de 11.25%, y reafirmó su compromiso con el retiro completo del estímulo monetario.","Por unanimidad, el Consejo acordó aumentar la tasa de instancia en 100 puntos base, alcanzando el máximo histórico de 11.25%, y reafirmó su compromiso con el retiro completo del estímulo monetario.","La unidad respalda llevar la TPM a un nivel fuertemente contractivo con mayor celeridad y reafirma el retiro completo del estímulo, lo que constituye un endurecimiento monetario explícito (Hawkish).",4e73a289877f3a99,pendiente,no
SYNTH_00007,2024-09-03,dovish,Aceleración del ciclo de recortes de la TPM (bajas de 75 o 100 pb) para evitar contracción excesiva del crédito,"El Consejo evaluó que las condiciones del mercado de crédito han mostrado un endurecimiento mayor al previsto, con una contracción del financiamiento bancario que podría profundizar la debilidad de la demanda interna y alejar la inflación de la meta por debajo del 3%. Un Consejero argumentó que la brecha de actividad negativa y las menores presiones de costos otorgan espacio para acelerar el ciclo de recortes de la tasa de instancia. Todos los Consejeros coincidieron en que un relajamiento más rápido de la política monetaria contribuiría a evitar una contracción excesiva del crédito sin comprometer el anclaje de las expectativas inflacionarias. El Consejo acordó por unanimidad reducir la TPM en 100 puntos base y señaló que el ritmo de nuevos recortes será evaluado reunión a reunión, manteniendo un sesgo a la baja mientras el escenario central del IPoM se materialice.","El Consejo acordó por unanimidad reducir la TPM en 100 puntos base y señaló que el ritmo de nuevos recortes será evaluado reunión a reunión, manteniendo un sesgo a la baja mientras el escenario central del IPoM se materialice.","La unidad respalda acelerar el ciclo de recortes de la TPM con bajas de 100 puntos base y mantiene un sesgo futuro a la baja, lo que constituye expansión monetaria explícita (Dovish).",a5d0d696376a8fcc,pendiente,no
SYNTH_00008,2024-12-17,neutral,Evaluación equilibrada entre riesgos al alza por el tipo de cambio y riesgos a la baja por la holgura de actividad,"El Consejo evaluó un balance de riesgos equilibrado para la inflación y la actividad. Por el lado de los riesgos al alza, un Consejero argumentó que la depreciación del tipo de cambio y la divergencia de la Fed respecto de las condiciones financieras locales podrían presionar los precios internos y mantener elevada la inflación SAE sin volátiles. Por el lado de los riesgos a la baja, todos los Consejeros coincidieron en que la holgura de actividad y la debilidad del mercado laboral podrían moderar las presiones inflacionarias más rápido de lo previsto en el IPoM. El Consejo concluyó que, en este balance, no existen antecedentes suficientes para modificar la orientación de la política monetaria. Por unanimidad, el Consejo acordó mantener la tasa de instancia en su nivel actual, a la espera de nueva información sobre inflación y actividad.","El Consejo concluyó que, en este balance, no existen antecedentes suficientes para modificar la orientación de la política monetaria. Por unanimidad, el Consejo acordó mantener la tasa de instancia en su nivel actual","La unidad presenta un balance equilibrado de riesgos al alza y a la baja y acuerda mantener la TPM sin un sesgo direccional identificable, lo que corresponde a neutralidad con acuerdo de mantención.",21bbef930460a940,pendiente,no
SYNTH_00009,2024-07-30,dovish,Llamado a avanzar con mayor celeridad hacia el rango neutral de la TPM (3.5% - 4.5% nominal),"El Consejo evaluó que la TPM se encuentra todavía por sobre el rango de tasa neutral nominal, estimado entre 3.5% y 4.5%, pese a que la inflación ha convergido sostenidamente hacia la meta y las expectativas se mantienen ancladas. Un Consejero argumentó que la brecha de actividad negativa y el menor dinamismo del mercado laboral justifican avanzar con mayor celeridad hacia el rango neutral, de modo de evitar que una política monetaria innecesariamente restrictiva profundice la debilidad de la demanda interna. Todos los Consejeros coincidieron en que el escenario central del IPoM es compatible con reducir la tasa de instancia en el corto plazo. Por mayoría, el Consejo acordó recortar la TPM en 75 puntos base y señaló que se continuará avanzando hacia el rango neutral en las próximas reuniones.",Un Consejero argumentó que la brecha de actividad negativa y el menor dinamismo del mercado laboral justifican avanzar con mayor celeridad hacia el rango neutral,"La unidad respalda recortar la TPM en 75 puntos base y avanzar hacia el rango neutral con mayor celeridad, lo que constituye expansión monetaria explícita (Dovish).",ffec9719cfbc2c7b,pendiente,no
SYNTH_00011,2023-12-19,dovish,Rápida desaceleración de la demanda interna y convergencia del IPC más veloz que lo previsto en el IPoM,"El Consejo constató que la demanda interna ha registrado una desaceleración más pronunciada que la proyectada en el IPoM, con una brecha de actividad que se ha tornado claramente negativa. Un Consejero argumentó que la convergencia del IPC hacia la meta ha sido más veloz que lo previsto, con medidas de inflación SAE sin volátiles descendiendo consistentemente, y que las expectativas de inflación a dos años plazo se mantienen ancladas en 3%. Todos los Consejeros coincidieron en que este escenario otorga espacio para continuar reduciendo la tasa de instancia sin comprometer la convergencia inflacionaria. Por unanimidad, el Consejo acordó recortar la TPM en 75 puntos base y señaló que el ritmo de nuevos recortes dependerá de la evolución de los antecedentes, manteniendo un sesgo a la baja.","Un Consejero argumentó que la convergencia del IPC hacia la meta ha sido más veloz que lo previsto, con medidas de inflación SAE sin volátiles descendiendo consistentemente","La unidad respalda recortar la TPM en 75 puntos base ante una convergencia inflacionaria más rápida y mantiene un sesgo futuro a la baja, lo que constituye expansión monetaria explícita (Dovish).",30776f646c5a6523,pendiente,no
