row_idx	source_id	year	stance_label	texto_en	texto_es
0	705	2024	neutral	the last few weeks had been characterized by the markets’ assessment of the american economy’s growth and the actions of the federal reserve (fed).	Las últimas semanas se habían caracterizado por la evaluación de los mercados sobre el crecimiento de la economía estadounidense y las acciones de la Reserva Federal (Fed).
1	921	2020	dovish	the evolution of consumption continued to be affected by these dynamics, in particular the sale of non-essential goods.	La evolución del consumo seguía afectada por estas dinámicas, en particular la venta de bienes no esenciales.
2	158	2021	hawkish	the two-year nominal rates spike of nearly 110 basis points (bp) stood out, explained by factors such as the change in the economic and monetary policy outlook, especially after the publication of the june meeting minutes.	Destacaba el aumento de las tasas nominales a dos años de cerca de 110 puntos base, explicado por factores como el cambio en las perspectivas económicas y de política monetaria, especialmente tras la publicación de la minuta de la reunión de junio.
3	654	2018	hawkish	the copper price had risen about 5% since then, driven by chinese imports that showed more dynamism in september while inventories continued to show some depletion in the margin.	El precio del cobre había aumentado cerca de 5% desde entonces, impulsado por importaciones chinas que mostraban mayor dinamismo en septiembre, mientras los inventarios seguían mostrando cierta disminución en el margen.
4	822	2021	hawkish	this had been compounded by the start of monetary normalization by the authorities in norway, new zealand, and various emerging economies.	A esto se había sumado el inicio de la normalización monetaria por parte de las autoridades de Noruega, Nueva Zelanda y diversas economías emergentes.
5	43	2019	neutral	in contrast, consumption had sustained the expected dynamism.	En contraste, el consumo había mantenido el dinamismo esperado.
6	189	2019	neutral	this was much more consistent with the report’s baseline scenario and associated risks, allowing for greater certainty regarding the convergence of inflation to 3% in the policy horizon.	Esto era mucho más consistente con el escenario base del informe y sus riesgos asociados, lo que permitía mayor certeza respecto de la convergencia de la inflación a 3% en el horizonte de política.
7	869	2024	neutral	the labor market behaved consistently with the trajectory of the cycle, the unemployment rate stood at 8.7% in the moving quarter ending in march, while the labor force was expanding steadily.	El mercado laboral se comportaba de manera consistente con la trayectoria del ciclo; la tasa de desempleo se situaba en 8.7% en el trimestre móvil terminado en marzo, mientras la fuerza de trabajo se expandía sostenidamente.
8	987	2022	neutral	instead, what was needed was to assess whether these shocks affected the persistence of inflationary dynamics over the policy horizon.	En cambio, era necesario evaluar si estos shocks afectaban la persistencia de la dinámica inflacionaria en el horizonte de política.
9	467	2023	hawkish	in december 2022, headline and core annual inflation had been at 12.8% and 10.7%, respectively, both figures down from the previous month.	En diciembre de 2022, la inflación anual total y subyacente había sido de 12.8% y 10.7%, respectivamente, ambas cifras inferiores a las del mes anterior.
10	257	2022	hawkish	on the other hand, in a context of high short-term inflation and a weak economy in the medium term, keeping inflation expectations in line with the target was essential for monetary policy to be able to deal appropriately with this scenario.	Por otra parte, en un contexto de alta inflación de corto plazo y una economía débil en el mediano plazo, mantener las expectativas de inflación alineadas con la meta era esencial para que la política monetaria pudiera enfrentar adecuadamente este escenario.
11	658	2023	dovish	this decline owed much to the effect of the slowdown in demand, which outweighed the impact of the continued tightness of the market.	Esta disminución se debía en gran medida al efecto de la desaceleración de la demanda, que superaba el impacto de la persistente estrechez del mercado.
12	754	2022	neutral	regarding local conditions, there was general agreement that there were no substantial differences with respect to forecasts in the september mp report.	Respecto de las condiciones locales, había acuerdo general en que no existían diferencias sustanciales respecto de las proyecciones del Informe de Política Monetaria de septiembre.
13	632	2020	neutral	in the money markets, financing costs remain contained in both pesos and dollars, despite a reduction in dollar liquidity.	En los mercados monetarios, los costos de financiamiento permanecen contenidos tanto en pesos como en dólares, pese a una reducción de la liquidez en dólares.
14	426	2023	dovish	in this board member’s view, this could be justified if it was kept in mind that, including the peso appreciation, the trends suggested that inflation was set to decline going forward, although it was recognized that there was not enough information.	A juicio de este consejero, esto podía justificarse si se tenía presente que, incluida la apreciación del peso, las tendencias sugerían que la inflación disminuiría hacia adelante, aunque se reconocía que no había suficiente información.
15	288	2018	dovish	he recalled that in the past, shocks of this kind had generated a response of more—not less—expansionary monetary policy, despite the higher short-term inflation.	Recordó que, en el pasado, shocks de este tipo habían generado una respuesta de política monetaria más —no menos— expansiva, pese a la mayor inflación de corto plazo.
16	70	2018	neutral	it was noted that the effect of the higher oil price on the short-term inflation projections, without being negligible, was not a big factor in this risk assessment.	Se señaló que el efecto del mayor precio del petróleo sobre las proyecciones de inflación de corto plazo, sin ser despreciable, no era un factor importante en esta evaluación de riesgos.
17	167	2021	hawkish	considering the frequency of the monetary policy meetings under the rules in place since 2018, this translated into the mpr needing to be raised by between 50 and 75 basis points (bp) over several meetings, making them the plausible options for this occasion.	Considerando la frecuencia de las reuniones de política monetaria bajo las reglas vigentes desde 2018, esto se traducía en la necesidad de aumentar la TPM entre 50 y 75 puntos base a lo largo de varias reuniones, convirtiéndolas en las opciones plausibles para esta ocasión.
18	102	2023	neutral	as for the latter, there was no doubt that the economy was adjusting.	En cuanto a lo último, no había duda de que la economía se estaba ajustando.
19	250	2019	neutral	among them, the cycle’s maturing process, which had taken quite long; political pressures in different places; the risk of a trade war; and financial stress.	Entre ellos, el proceso de maduración del ciclo, que había tomado bastante tiempo; las presiones políticas en distintos lugares; el riesgo de una guerra comercial; y las tensiones financieras.
20	832	2021	hawkish	in particular, that it could generate an even greater tightening in local financial conditions —and there were no forecasts to quantify this effect— or it could be associated with a response to inflationary surprises that had no relation with core inflation.	En particular, que podía generar un endurecimiento aún mayor de las condiciones financieras locales —y no había proyecciones para cuantificar este efecto— o podía asociarse a una respuesta a sorpresas inflacionarias sin relación con la inflación subyacente.
21	916	2019	hawkish	but if consumption remained dynamic, beyond the adjustment in the automobile market, which was something anticipated and desirable, it was possible for inflation to resume its convergence trajectory as the effects of the greater monetary stimulus adopted in the previous meeting, so a new mpr reduction would be unnecessary.	Pero si el consumo permanecía dinámico, más allá del ajuste en el mercado automotor, que era algo previsto y deseable, era posible que la inflación retomara su trayectoria de convergencia por los efectos del mayor estímulo monetario adoptado en la reunión anterior, por lo que una nueva reducción de la TPM sería innecesaria.
22	763	2020	neutral	its immediate impact was severe, it was lasting more than previouly expected and its longterm repercussions were still uncertain.	Su impacto inmediato era severo, estaba durando más de lo previamente esperado y sus repercusiones de largo plazo seguían siendo inciertas.
23	84	2022	neutral	in the volatile component --also unexpectedly high--, the contribution of fuels and some specific items, such as tourist packages, continued to stand out.	En el componente volátil —también inesperadamente alto— seguía destacando la contribución de los combustibles y algunos ítems específicos, como los paquetes turísticos.
24	295	2018	neutral	in the emerging world, china’s first-quarter gdp had remained as strong as the previous quarter and the mixed marginal numbers had continued to support the deceleration and rebalancing of activity foreseen for the next quarters.	En el mundo emergente, el PIB de China del primer trimestre había permanecido tan fuerte como en el trimestre anterior y las cifras mixtas en el margen seguían respaldando la desaceleración y el rebalanceo de la actividad previstos para los próximos trimestres.
25	125	2019	neutral	the business perceptions report, for which data had been collected up to october 18, reported that the business performance of most respondents had been similar to or somewhat better than the previous quarter, with results that were mostly in line with expectations.	El Informe de Percepciones de Negocios, cuyos datos se habían recogido hasta el 18 de octubre, señalaba que el desempeño de los negocios de la mayoría de los consultados había sido similar o algo mejor que en el trimestre anterior, con resultados mayormente acordes con lo esperado.
26	845	2020	dovish	this region was facing the most complex situation, with long-standing doubts regarding the handling of the sanitary emergency and deep damage especially on employment, which pointed to a sluggish recovery.	Esta región enfrentaba la situación más compleja, con dudas persistentes respecto del manejo de la emergencia sanitaria y un daño profundo, especialmente en el empleo, que apuntaba a una recuperación lenta.
27	191	2019	dovish	the board decided, with the votes of governor marcel, vice-governor vial, and board members garcía, costa and naudon, to reduce the mpr by 50 basis points, to 2.5%.	El Consejo decidió, con los votos del presidente Marcel, el vicepresidente Vial y los consejeros García, Costa y Naudon, reducir la TPM en 50 puntos base, a 2.5%.
28	617	2020	neutral	commercial banks had applied to nearly 95% of the funds available under phase 1 of the facility conditional on increased lending (fcic), and many had used up their full assigned amount.	Los bancos comerciales habían solicitado cerca de 95% de los fondos disponibles en la fase 1 de la Facilidad de Financiamiento Condicional al Incremento de las Colocaciones (FCIC), y muchos habían utilizado la totalidad de su monto asignado.
