caso_id,intervencion_id,meeting_id,etiqueta,confianza,es_relevante,frase_justificante,nota,estado_revision,uso_propuesto,metodo,etiquetador,fecha_anotacion,version_codebook,ronda,tipo_referencia,n_caracteres,n_palabras,sha256_texto,flag_cotejo_fuente,incorporado_a_train
C31,RPM-2012-01-12:4570:1,RPM-2012-01-12,dovish,alta,1,"su voto, en esta oportunidad, es por reducir la TPM en 25 puntos base",R1. Vota por recortar 25 pb ante mayores spreads y desaceleración; no se etiqueta por los movimientos extranjeros mencionados.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,3652,606,aeca4aa09f33f91d2730193c386cfceed6ec9ec7e3a495c21404aab2daeec354,False,0
C32,RPM-2015-06-11:6862:5,RPM-2015-06-11,dovish,media,1,"es fundamental que la política monetaria siga contribuyendo a estimular la inversión y el consumo, de manera que las holguras de capacidad se cierren en un plazo razonable","R2/R4. Respalda que la política monetaria sostenga el estímulo frente a límites fiscales, pero no especifica una baja o aumento adicional de expansividad. Lectura D de confianza media; reservar, no contar para la meta utilizable.",anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,642,101,377ebb2827ce217f8e435f48e0ce77ab4f2d4f6a68c412fa01a2e0be6e3a25e6,False,0
C33,RPM-2009-02-12:2370:1,RPM-2009-02-12,dovish,alta,1,"al Ministerio de Hacienda le parece aconsejable una baja potente, inusualmente alta en la Tasa de instancia monetaria, seguida de una discusión del sesgo hacia la baja",R1/R2. Recomienda explícitamente una reducción grande de la tasa doméstica; relaciona la caída de demanda con la necesidad de mayor impulso monetario.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,6138,1013,23d44c157dd6065f645f848c28601dc89628d0068efd102cc0493ad219073545,False,0
C34,RPM-2011-03-17:3890:1,RPM-2011-03-17,hawkish,alta,1,su voto es por aumentar la TPM en 50pb,R1. Alza actual inequívoca de 50 pb. La posibilidad de ajustes futuros menores no cambia esa dirección. Se conserva el texto/OCR original.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,513,90,bfa8736bdbbebb1709a8c72e0c579950192df62f65812da9c202abcd874cd398,False,0
C35,RPM-2013-08-13:5742:1,RPM-2013-08-13,dovish,alta,1,"recomendar la opción de mantener la TPM en 5% anual en esta oportunidad, junto con continuar con el sesgo a la baja","R5/R7. Recomendación propia del staff de conservar orientación a la baja, aunque mantenga el nivel hoy. No es solo una expectativa de mercado.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,498,82,1408aa3a5d27f1672584c03fec314ca53015e5eaac6e35dae8007ba4692cb18b,False,0
C36,RPM-2008-01-10:1640:1,RPM-2008-01-10,hawkish,alta,1,por unanimidad se ha acordado subir la Tasa de Interés de Política Monetaria en 25 puntos base,R1/R6. Comunica el acuerdo actual de subir 25 pb. La referencia a discusión entre 25 y 50 no vuelve neutral el signo de la decisión.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,600,101,39ceec20283ebd1bac6a7e745db024e462f4d6f9d78e050ce33ecaf22da76835,False,0
C37,RPM-2009-08-13:2680:4,RPM-2009-08-13,neutral,alta,1,"en la última Reunión de Política Monetaria, el Consejo acordó reducir la tasa de interés de política monetaria hasta 0,5% anual","R5. Introducción que recapitula la decisión y medidas de la reunión pasada, sin recomendación propia en esta unidad. No trasladar automáticamente una decisión histórica a D actual ni completar lo que seguiría después.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,488,78,ca32988513abbf9fcf905a08243ffbb7aec666fd95f73900a34082d035e7d2d8,False,0
C38,RPM-2012-12-13:5259:1,RPM-2012-12-13,neutral,media,1,"si persisten las tensiones provenientes de las fuentes indicadas, será necesario adoptar acciones correctivas","R2/R9. Mantención respaldada, con riesgos por demanda y activos; las acciones correctivas futuras no identifican instrumento ni dirección de TPM y podrían involucrar otras autoridades. No inferir un alza automáticamente. N con confianza media.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,595,92,1250a5b9b6f921f99e9f06f24fec67e09fc06bbb737fe196b5f8835b1d5c0c88,False,0
C39,RPM-2010-11-16:3510:1,RPM-2010-11-16,neutral,alta,1,la encuesta de analistas arrojó una reducción del ritmo de normalización de las TPM,"R3/R5. Exposición de encuestas, tasas internacionales y primas de liquidez. No propone una orientación para la TPM chilena; menor normalización externa tampoco equivale a recorte doméstico.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,2076,354,0404e57fcdbf050b571462ead09b74c83f625a70ec2ce77fd26075e0ba60a7dc,False,0
C40,RPM-2006-12-14:1013:2,RPM-2006-12-14,dovish,media,1,el riesgo de inestabilidad por movimientos más bruscos en las tasas cree que es superior en el caso de mantener que en el caso de realizar una reducción moderada,"R4/R5. Balance de riesgos favorable a una reducción, aunque inicia respaldando esperar y termina con una formulación no concluyente. D de confianza media; reservar fuera del núcleo de alta confianza.",anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-17,v2,ampliacion_hd_60_ia_tanda02,anotacion_ia_no_gold_humano,1691,278,c35973f2b526dd0241bb7f1163397abb7dff22238a8b6b2fb878302aaf7ba4ac,False,0
