intervencion_id,meeting_id,fold,supervision_prediccion_congelada,etiqueta_v2,etiqueta_v3,cambio_etiqueta_referencia,es_relevante_v2,es_relevante_v3,cambio_relevancia_referencia,prediccion_relevancia_congelada,prediccion_clase_direccional_congelada,prediccion_congelada,acierto_v2,acierto_v3,efecto_recodificacion,tipo_error_v3,prioridad_revision,cita_v3,fundamento_v3
RPM-2012-11-13:5217:1,RPM-2012-11-13,1,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"como la Tasa de Política Monetaria se ubica en una posición que se debe considerar como neutral y el balance de riesgos se mantiene equilibrado, resulta difícil plantear una opción distinta de la ya mencionada",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2005-03-10:179:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error,direccion_a_neutral,3,concuerda con los comentarios y recomendaciones sobre una normalización pausada de la política monetaria,"Hace propia la trayectoria de normalización, aunque admite postergar el alza por táctica. La orientación futura respaldada es H."
RPM-2005-03-10:185:1,RPM-2005-03-10,1,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error,neutral_a_direccion,2,estamos mucho más en tinieblas de lo que parece afirmar el Banco,"Cuestiona los supuestos que justificarían alzas y pide revisar datos mes a mes, pero no adopta una expansión ni un sesgo a la baja. No corresponde D: N."
RPM-2005-03-10:186:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error,direccion_a_neutral,3,"lo que se avizora en el futuro es una reducción gradual del impulso monetario, que le parece además adecuado plantearlo",Respalda una reducción futura gradual del impulso y solo pide no convertirla en precompromiso mecánico: H.
RPM-2005-03-10:190:1,RPM-2005-03-10,1,seis_mas_trece,hawkish,hawkish,false,1,1,false,1,neutral,neutral,false,false,sin_cambio,direccion_a_neutral,3,"la tasa de interés actual de la política monetaria es una tasa claramente expansiva y que, por lo tanto, la tasa neutral está por sobre ésta",Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.
RPM-2005-03-10:193:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error,direccion_a_neutral,3,importante dar una señal hacia dónde va esa política monetaria en el futuro,"Describe la tasa neutral por encima de la actual y respalda comunicar la trayectoria hacia ella; la orientación futura es H, aunque el momento permanezca abierto."
RPM-2005-03-10:196:1,RPM-2005-03-10,1,seis_mas_trece,neutral,hawkish,true,1,1,false,1,neutral,neutral,true,false,acierto_a_error,direccion_a_neutral,3,una reducción gradual y pausada del pronunciado estímulo monetario,La minuta respalda mantener la estrategia de retirar gradualmente estímulo aunque pause hoy: H.
RPM-2006-05-11:672:1,RPM-2006-05-11,1,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error,inversion_h_d,1,la tasa de política monetaria aumente los próximos trimestres a un ritmo similar al que está implícito en la curva forward del mercado,"La pausa evita acelerar la normalización, pero el actor hace propio un escenario de aumentos posteriores; no corresponde D por comparación con el alza inmediata."
RPM-2006-05-11:673:1,RPM-2006-05-11,1,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error,inversion_h_d,1,"la estrategia de retiro pausado del estímulo monetario iniciada a fines del 2004, sigue siendo la mejor opción y hasta ahora se presenta como la más adecuada","Respalda el retiro de estímulo y prevé nuevas alzas, aunque elija pausar este mes: H, no D."
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"las expectativas de los analistas para el plazo de 2 años, por primera vez en varios meses, se han ubicado nuevamente en torno a la meta",Compatible con N: diagnóstico de crisis: riesgos claramente negativos; abre espacio al relajamiento (sin voto en el fragmento). La unidad no adopta ni respalda una dirección monetaria propia.
RPM-2010-08-12:3337:1,RPM-2010-08-12,1,seis_mas_trece,hawkish,hawkish,false,1,1,false,1,neutral,neutral,false,false,sin_cambio,direccion_a_neutral,3,lo más adecuado sería continuar con el proceso paulatino y gradual de normalización de la política monetaria,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.
RPM-2012-11-13:5215:1,RPM-2012-11-13,1,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,en esta oportunidad lo más adecuado es mantener la Tasa de Política Monetaria en 5% anual y el tenor del Comunicado,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2013-08-13:5748:1,RPM-2013-08-13,1,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"por razones de prudencia, se inclina finalmente por la opción de mantener la Tasa de Política Monetaria en su actual nivel de 5% anual",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2015-05-14:6804:1,RPM-2015-05-14,1,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"su voto es por mantener la TPM en su actual nivel de 3%, así como también el sesgo del Comunicado",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2006-10-12:941:1,RPM-2006-10-12,2,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"no hay razones para subir ni para bajar la tasa de política monetaria. Por lo tanto, lo más prudente cree que es su mantención",Compatible con N: voto de mantención equilibrado; discute sesgo comunicacional (R4). La unidad no adopta una dirección monetaria propia.
RPM-2006-01-12:533:1,RPM-2006-01-12,2,seis_mas_trece,neutral,neutral,false,1,1,false,1,hawkish,hawkish,false,false,sin_cambio,neutral_a_direccion,2,"la tendencia inflacionaria y las expectativas de inflación, tras subir luego del incremento del precio de los combustibles en los meses recientes, han vuelto a 3%",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2006-10-12:936:1,RPM-2006-10-12,2,seis_mas_trece,dovish,neutral,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error,neutral_a_direccion,2,mantención de las tasas actuales,Retirar el sesgo al alza para comunicar mantención elimina dirección; no equivale por sí solo a respaldar una baja o mayor estímulo.
RPM-2007-10-11:1519:1,RPM-2007-10-11,2,seis_mas_trece,neutral,neutral,false,1,1,false,1,hawkish,hawkish,false,false,sin_cambio,neutral_a_direccion,2,en esta ocasión lo apropiado es mantener la Tasa de Política Monetaria a la espera de acumular más antecedentes,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2009-10-13:2758:1,RPM-2009-10-13,2,seis_mas_trece,dovish,dovish,false,1,1,false,1,hawkish,hawkish,false,false,sin_cambio,inversion_h_d,1,"vota por mantener la TPM en 0,5% y las medidas de política monetaria excepcionales adoptadas en julio",Compatible con dovish: dirección respaldada en la unidad. No depende solo del menú o fase.
RPM-2012-03-15:4721:1,RPM-2012-03-15,2,seis_mas_trece,neutral,neutral,false,1,1,false,1,hawkish,hawkish,false,false,sin_cambio,neutral_a_direccion,2,este conjunto de consideraciones aconseja proponer la mantención de la TPM en 5%,Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2015-01-15:6585:1,RPM-2015-01-15,2,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"la Gerencia de División Estudios propone como única opción relevante mantener la TPM en 3,00%",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.
RPM-2006-09-07:873:1,RPM-2006-09-07,3,seis_mas_trece,dovish,hawkish,true,1,1,false,1,dovish,dovish,true,false,acierto_a_error,inversion_h_d,1,"los ajustes, aún considerados como necesarios en un horizonte de mediano o largo plazo, podrían resultar bastante más distanciados en el tiempo que lo previsto con anterioridad","Mantiene hoy, pero respalda que los ajustes al alza siguen siendo necesarios aunque más distantes. La trayectoria propia es H; no D por una pausa más larga."
RPM-2006-12-14:1017:1,RPM-2006-12-14,3,seis_mas_trece,neutral,neutral,false,1,1,false,1,dovish,dovish,false,false,sin_cambio,neutral_a_direccion,2,"la única opción razonable, y en esto coincide plenamente con la Minuta, es mantener la tasa en su actual nivel",Compatible con N: descarta explícitamente subir y bajar (R4). La unidad no adopta una dirección monetaria propia.
RPM-2007-01-11:1049:3,RPM-2007-01-11,3,seis_mas_trece,dovish,dovish,false,1,1,false,1,neutral,neutral,false,false,sin_cambio,direccion_a_neutral,3,"el hecho que la inflación proyectada para los próximos meses se mueve a la baja y que el cierre de brecha de actividad en lo más reciente se haya dilatado, lo llevan a considerar positivamente la opción de un recorte de la tasa de política monetaria para esta reunión",Compatible con dovish: staff recomienda recorte (R5). La dirección está respaldada en la unidad y no depende solo del menú o fase.
RPM-2011-08-18:4272:1,RPM-2011-08-18,3,seis_mas_trece,dovish,neutral,true,1,1,false,1,hawkish,hawkish,false,false,sin_cambio,neutral_a_direccion,2,quitar el sesgo restrictivo a la política monetaria de los Comunicados anteriores,"Mantiene la tasa y elimina el sesgo restrictivo para recuperar flexibilidad, sin respaldar una baja ni un sesgo expansivo. Retirar H no crea automáticamente D: corresponde N."
