intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2005-05-12:267:1,data/etiquetas/etiquetas_escalado_r8.csv,Camilo Carrasco Alfonso,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,alta,estima que la estrategia de una normalización gradual y pausada es un punto en que todos estamos de acuerdo,"Hace propia una trayectoria de alzas y solo elige una pausa táctica en mayo: H, no D.",a4eba5e045863a0e232980bd1ceadcf55687203ec5cc846d73b8c260107f45be,2954
RPM-2005-05-12:268:1,data/etiquetas/etiquetas_escalado_r8.csv,Klaus Schmidt-Hebbel Dunker,hawkish,1,hawkish,1,hawkish,1,compatible,alta,que la opción de alza de 25 puntos base domina inambiguamente a la mantención de la tasa de política monetaria en esta oportunidad,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,68f70712f93859a29668f4c1007c097e2b9fe05938039fd9fd80b1bfa2d9b243,1849
RPM-2005-05-12:269:1,data/etiquetas/etiquetas_escalado_r8.csv,Nicolás Eyzaguirre Guzmán,neutral,1,neutral,1,neutral,1,compatible,media,"no se corre riesgo, y no debiéramos extrañarnos que el IPCX1 frente al shock que hemos tenido durante algún tiempo sea el 3%",Compatible con N: sin dirección respaldada. La unidad no adopta una dirección monetaria propia.,79e9257ffe9bea7a5775c074a47939dee6ad40ff37b4a837bfa6640850431754,1178
RPM-2005-05-12:270:1,data/etiquetas/etiquetas_escalado_r8.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,hawkish,1,cambio_etiqueta,media,"si fuese 6,5% y no 7,5%, de todos modos requiere una normalización de tasa que no es menor en los próximos meses",Sostiene que incluso una tasa neutral menor exige normalización en los próximos meses: orientación futura H.,3fe8b7851e497707e4dd4d2d45e1a477f2116863fa47694200c81e254fae68d9,1974
RPM-2005-05-12:271:1,data/etiquetas/etiquetas_escalado_r8.csv,Esteban Jadresic Marinovic,hawkish,1,hawkish,1,hawkish,1,compatible,alta,el escenario es apropiado para la opción de un aumento de tasas,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,3a3b7301c8090d479cc0960c9622e7842c1b3bdcd10bcc369f251569460899f2,2203
RPM-2005-05-12:272:1,data/etiquetas/etiquetas_escalado_r8.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Compatible con N/relevancia0: transito procedimental: apertura de la votacion.,d19523b795fc23d4894b4ef6f9ff7a7fa625608421963ed934163bd962ecb317,122
RPM-2005-05-12:273:1,data/etiquetas/etiquetas_escalado_r8.csv,Manuel Marfán Lewis,hawkish,1,hawkish,1,hawkish,1,compatible,alta,vota por elevar la tasa de política monetaria en 25 puntos base,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,0b152d3635cdeb9729fb4f2b3121c07e7cb519973cb3d6906cd89f87dfcec731,4490
RPM-2005-05-12:274:1,data/etiquetas/etiquetas_escalado_r8.csv,Jorge Desormeaux Jiménez,hawkish,1,hawkish,1,hawkish,1,compatible,alta,se inclina en el día de hoy por un alza de 25 puntos base en la tasa de política monetaria,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,4108d160748495d36a4de1d0bd4957436eec93eeb16d290fb149480bdeaf3f33,2061
RPM-2005-05-12:275:1,data/etiquetas/etiquetas_escalado_r8.csv,María Elena Ovalle Molina,hawkish,1,hawkish,1,hawkish,1,compatible,alta,Por ello vota por un alza de la TPM de 25 puntos base,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,dd9f2a9ea4c81cc33d768f1198f0298b537555533d3593722aeb2e4866ba3b8a,3318
RPM-2005-05-12:276:1,data/etiquetas/etiquetas_escalado_r8.csv,José De Gregorio Rebeco,hawkish,1,hawkish,1,hawkish,1,compatible,alta,hoy su voto es por subir la tasa de política monetaria en 25 puntos base,Compatible con hawkish: dirección respaldada en la unidad. No depende solo del menú o fase.,4eb613b328323d789ac7bc01d22df992be6471e9d1a06bf0fc4c88d164ae634f,4760
