orden,intervencion_id,meeting_id,texto_repetido_training,reunion_en_training,prob_hawkish,prob_dovish,prob_neutral,pred,es_relevante_pred,score_pred
1,RPM-2014-03-13:6107:1,RPM-2014-03-13,False,True,0.15060511966418325,0.5266172119585711,0.32277766837724564,dovish,1,-0.3760120922943879
2,RPM-2011-04-12:3955:1,RPM-2011-04-12,False,True,0.011414233270766702,0.01830710500286363,0.9702786617263697,neutral,1,-0.006892871732096928
3,RPM-2010-03-18:2971:1,RPM-2010-03-18,False,True,0.06544735457429675,0.16566581484067877,0.7688868305850245,neutral,1,-0.10021846026638202
4,RPM-2011-07-14:4127:1,RPM-2011-07-14,False,True,0.018658503006535182,0.07749210921568976,0.9038493877777751,neutral,1,-0.05883360620915458
5,RPM-2005-09-08:380:1,RPM-2005-09-08,False,True,0.15699096835357157,0.1604317461977499,0.6825772854486785,neutral,1,-0.0034407778441783443
6,RPM-2010-02-11:2905:2,RPM-2010-02-11,False,True,0.0176066000492724,0.058373104062798886,0.9240202958879288,neutral,1,-0.04076650401352649
7,RPM-2006-12-14:1010:4,RPM-2006-12-14,False,True,0.13556530420411148,0.13856453248797798,0.7258701633079107,neutral,1,-0.0029992282838665063
8,RPM-2008-09-04:2096:1,RPM-2008-09-04,False,True,0.4448018276974949,0.44343756347093455,0.11176060883157062,hawkish,1,0.00136426422656033
9,RPM-2007-10-11:1504:1,RPM-2007-10-11,False,True,0.10427720976107029,0.056343343693559984,0.8393794465453698,neutral,1,0.0479338660675103
10,RPM-2011-07-14:4207:1,RPM-2011-07-14,False,True,0.29474048090064064,0.4406649789028233,0.2645945401965361,dovish,1,-0.14592449800218266
11,RPM-2009-04-09:2471:1,RPM-2009-04-09,False,True,0.023469481427045278,0.06888485770692639,0.9076456608660283,neutral,1,-0.04541537627988111
12,RPM-2012-03-15:4722:4,RPM-2012-03-15,False,True,0.0,0.0,1.0,neutral,0,0.0
13,RPM-2008-04-10:1776:1,RPM-2008-04-10,False,True,0.4064204574496126,0.24268100835039902,0.35089853419998845,hawkish,1,0.16373944909921356
14,RPM-2010-01-14:2846:1,RPM-2010-01-14,False,True,0.02934011076777322,0.05654065142076537,0.9141192378114613,neutral,1,-0.027200540652992152
15,RPM-2007-09-13:1456:4,RPM-2007-09-13,False,True,0.024773104783635,0.04870691401209192,0.9265199812042731,neutral,1,-0.02393380922845692
16,RPM-2015-01-15:6574:1,RPM-2015-01-15,False,True,0.010948138511397018,0.015509905795208452,0.9735419556933946,neutral,1,-0.004561767283811434
17,RPM-2006-06-15:714:1,RPM-2006-06-15,False,True,0.023042203744035254,0.08619703154678464,0.8907607647091801,neutral,1,-0.06315482780274939
18,RPM-2014-06-12:6267:1,RPM-2014-06-12,False,True,0.01392758680131493,0.05070691284946367,0.9353655003492214,neutral,1,-0.03677932604814874
19,RPM-2005-10-11:402:1,RPM-2005-10-11,False,True,0.0,0.0,1.0,neutral,0,0.0
20,RPM-2011-10-13:4360:2,RPM-2011-10-13,False,True,0.020291230321374917,0.043501363712912605,0.9362074059657125,neutral,1,-0.02321013339153769
21,RPM-2013-01-17:5309:1,RPM-2013-01-17,False,True,0.01888700315144422,0.04371840040434225,0.9373945964442135,neutral,1,-0.02483139725289803
22,RPM-2010-02-11:2891:5,RPM-2010-02-11,False,True,0.015441892138237783,0.060524707217937394,0.9240334006438249,neutral,1,-0.04508281507969961
23,RPM-2009-04-09:2445:4,RPM-2009-04-09,False,True,0.03466113817946958,0.03920400244233764,0.9261348593781928,neutral,1,-0.004542864262868061
24,RPM-2010-12-16:3631:1,RPM-2010-12-16,False,True,0.0,0.0,1.0,neutral,0,0.0
25,RPM-2007-01-11:1044:1,RPM-2007-01-11,False,True,0.22476730643727333,0.2563067919349865,0.5189259016277401,neutral,1,-0.03153948549771318
26,RPM-2011-05-12:4053:2,RPM-2011-05-12,False,True,0.0,0.0,1.0,neutral,0,0.0
27,RPM-2013-06-13:5580:1,RPM-2013-06-13,False,True,0.04745182805907245,0.10274660010736274,0.8498015718335649,neutral,1,-0.05529477204829029
28,RPM-2008-12-11:2254:1,RPM-2008-12-11,False,True,0.4816804732469587,0.44057791847137945,0.077741608281662,hawkish,1,0.041102554775579225
29,RPM-2005-11-10:458:1,RPM-2005-11-10,False,True,0.026232671035267538,0.03478282681238555,0.9389845021523469,neutral,1,-0.008550155777118013
30,RPM-2014-05-15:6190:1,RPM-2014-05-15,False,True,0.037259376185927846,0.25815564254224277,0.7045849812718294,neutral,1,-0.22089626635631493
31,RPM-2011-11-15:4409:1,RPM-2011-11-15,False,True,0.020469074540549137,0.11324593075826064,0.8662849947011902,neutral,1,-0.0927768562177115
32,RPM-2011-11-15:4450:1,RPM-2011-11-15,False,True,0.11220015400709538,0.49338461911107556,0.39441522688182906,dovish,1,-0.3811844651039802
33,RPM-2013-10-17:5842:2,RPM-2013-10-17,False,True,0.0,0.0,1.0,neutral,0,0.0
34,RPM-2008-06-10:1881:1,RPM-2008-06-10,False,True,0.03235454079160988,0.03909943020828177,0.9285460290001083,neutral,1,-0.006744889416671888
35,RPM-2007-06-14:1302:1,RPM-2007-06-14,False,True,0.13788381877763184,0.43317891940886877,0.42893726181349945,dovish,1,-0.29529510063123693
36,RPM-2010-06-15:3155:1,RPM-2010-06-15,False,True,0.02703131421822063,0.061673021963412955,0.9112956638183664,neutral,1,-0.034641707745192325
37,RPM-2015-09-15:6988:1,RPM-2015-09-15,False,True,0.016569768277187185,0.039669089055027,0.9437611426677859,neutral,1,-0.023099320777839816
38,RPM-2012-04-17:4753:1,RPM-2012-04-17,True,True,0.0,0.0,1.0,neutral,0,0.0
39,RPM-2008-02-07:1668:2,RPM-2008-02-07,False,True,0.0,0.0,1.0,neutral,0,0.0
40,RPM-2009-02-12:2318:1,RPM-2009-02-12,False,True,0.009102153873442986,0.008923698118832583,0.9819741480077245,neutral,1,0.00017845575461040292
41,RPM-2015-01-15:6561:2,RPM-2015-01-15,False,True,0.061733611085150186,0.1031614808257899,0.8351049080890599,neutral,1,-0.04142786974063971
42,RPM-2011-12-13:4464:1,RPM-2011-12-13,False,True,0.023735203574890004,0.0335286278131909,0.9427361686119191,neutral,1,-0.009793424238300898
43,RPM-2008-12-11:2243:1,RPM-2008-12-11,False,True,0.12824296462765156,0.5376227891881044,0.3341342461842442,dovish,1,-0.4093798245604528
44,RPM-2011-01-13:3661:1,RPM-2011-01-13,False,True,0.007538244821572651,0.026204468717543988,0.9662572864608834,neutral,1,-0.018666223895971334
