caso_id,intervencion_id,meeting_id,etiqueta,confianza,es_relevante,frase_justificante,nota,estado_revision,uso_propuesto,metodo,etiquetador,fecha_anotacion,version_codebook,ronda,tipo_referencia,n_caracteres,n_palabras,sha256_texto,flag_cotejo_fuente,incorporado_a_train,duplicado_de
E001,RPM-2009-02-12:2373:1,RPM-2009-02-12,dovish,alta,1,"vota por bajar la Tasa de Política Monetaria en 250 puntos base para dejarla en un nivel de 4,75% anual",R1. Voto explícito por recorte de 250 pb. La normalización descrita implica bajar y la disponibilidad a otro monto por consenso no cambia el signo.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,6664,1074,3e7260cc7de9da743e9ed844664b4e5c7666d964084d0d2b96368a9b285c0673,False,0,
E002,RPM-2009-01-08:2298:1,RPM-2009-01-08,dovish,alta,1,el Presidente señor José De Gregorio vota por reducir la Tasa de Política Monetaria en 100 puntos base,R1/R7. Respalda un recorte actual y el inicio de un ciclo de relajamiento. La mención a deshacer alzas anteriores no es una recomendación de alza.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,3495,561,95bacbc916fb35f1d7cf087ff61a5eed03acc427cb80577b6a7ff905562ce73b,False,0,
E003,RPM-2013-11-19:5887:1,RPM-2013-11-19,dovish,alta,1,recomendar en esta oportunidad la opción de reducir la Tasa de Política Monetaria en 25 puntos base,R5/R1. Presenta alternativas pero concluye con una recomendación inequívoca de recorte; no se etiqueta solo por las expectativas de mercado.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,4040,626,7ca52e44ff2fbddb1f501e401f5c76f5e3f3b6efac2ecd2ac32fe729c020da2a,False,0,
E004,RPM-2015-10-15:7106:1,RPM-2015-10-15,hawkish,alta,1,"su voto es por subir la TPM a 3,25%",R1. Vota por subir y justifica comenzar a retirar el estímulo. La flexibilidad comunicacional no elimina el alza respaldada.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,4068,668,5907fbab9db595e8d98a214b3e6598c054f9d239821b3b5311552d279eb66975,False,0,
E005,RPM-2006-07-13:778:1,RPM-2006-07-13,hawkish,alta,1,"el Consejero señor Manuel Marfán vota por subir la tasa de política monetaria a 5,25%","R1. Tras argumentos a favor de mantener, resuelve votar un alza. Pedir una normalización futura más lenta no equivale a bajar.",anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,4969,822,67d4f85c573030ddc523c5f9ec84beb92ebcefacfb5e109adc71bc681c54426d,False,0,
E006,RPM-2015-09-15:7037:1,RPM-2015-09-15,hawkish,alta,1,"el staff favorece la opción de mantener la tasa en 3%, incluyendo un claro sesgo al alza",R5/R7. Mantención actual con orientación explícita de alzas próximas y retiro anticipado del estímulo. No convertir mantener en neutral automáticamente.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,6667,1086,5d7c93427e03f72cc21df92caf9c71f4dab268cb3f7b26ef372b0b9666dbc2a1,False,0,
E007,RPM-2008-05-08:1839:1,RPM-2008-05-08,neutral,alta,1,"no sería apropiado incorporar un sesgo, cualquiera sea la decisión de política que se adopte","R5/R9. Expone mantener/subir sujetos a distinta ponderación de riesgos, sin resolver una preferencia propia; recomienda no incorporar sesgo. No tomar el escenario preventivo como adhesión H.",anotada,neutral_fuera_enriquecimiento_hd,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,7350,1169,e77c9ed8509518c7dfbfd877a74404187969d1fe5c5ec0a74eb6a313567230c8,False,0,
E008,RPM-2010-07-15:3272:1,RPM-2010-07-15,hawkish,alta,1,"su voto es por subir la TPM en 50 puntos base, para llevarla a 1,50%",R1. Alza de 50 pb explícita. Descartar acelerar aún más el ritmo por riesgos externos no modifica la dirección.,anotada,hd_alta_confianza,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,4161,675,d72efc4e2107354725a85dd10247190d6192f623a760e3ed2f4abe6f36fb9261,False,0,
E009,RPM-2013-09-12:5802:1,RPM-2013-09-12,dovish,alta,1,"recomendar la opción de mantener la TPM en 5% anual en esta oportunidad, junto con continuar con el sesgo a la baja","R5/R7. La dirección es D, pero la intervención repite casi la misma plantilla que C35 (RPM-2013-08-13:5742:1). Jaccard de trigramas 0,80645, por debajo del filtro automático 0,85; excluir manualmente de la meta para no inflar variedad.",duplicado_cercano_no_incorporar,duplicado_cercano_no_incorporar,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,545,90,0aeca804838bc821c714ba09995bcb7d4fd9ba14d4c00615c452304625a6eace,False,0,RPM-2013-08-13:5742:1
E010,RPM-2014-08-14:6375:1,RPM-2014-08-14,dovish,media,1,el mayor impulso monetario es coherente con una proyección de crecimiento notoriamente inferior a la contemplada en dicho Informe,"R4/R5. Argumentación favorable a mayor impulso y al recorte de 25 pb, pero el texto presenta tres alternativas sin conclusión explícita de recomendación. Lectura D media, reservada y fuera del contador.",anotada,reserva_hd_media,ia_lectura_integra,agente_Arena,2026-09-17,v2,meta_hd_300_ia_tanda03,anotacion_ia_no_gold_humano,5601,930,a559677455b77b58f5b25e57339943498069fe066ffd990aab26a46b11ba561c,False,0,
