unidad,k,topico_local,terminos_top5,terminos_top20,prevalencia
oracion_min_80,14,k14_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes politica | comunicado | interes | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.07966928284677127
oracion_min_80,14,k14_tema_02,inflacion | expectativas | expectativas inflacion | meta | meses,inflacion | expectativas | expectativas inflacion | meta | meses | subyacente | rango | medidas | torno | horizonte | ipc | inflacion subyacente | anual | precios | inflacion anual | rango meta | inflacionarias | horizonte politica | proyecciones | baja,0.10720627860193524
oracion_min_80,14,k14_tema_03,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | euro | zona | zona euro | europa | japon | indicadores | china | latina | america latina | economia | recuperacion | monetaria estados | crecimiento estados | america zona | economia estados,0.042722853863632775
oracion_min_80,14,k14_tema_04,division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | financieras | division politica | politica financiera | financiera | opcion | solicita division | solicita | politica,0.03780193353903136
oracion_min_80,14,k14_tema_05,puntos | base | puntos base | 25 | 25 puntos,puntos | base | puntos base | 25 | 25 puntos | 50 | 50 puntos | tasa | tpm | monetaria 25 | alza | tpm 25 | subir | 75 | aumento | tasa politica | alza 25 | aumentar | aumento 25 | vota,0.04487804129857521
oracion_min_80,14,k14_tema_06,trimestre | crecimiento | demanda | actividad | interna,trimestre | crecimiento | demanda | actividad | interna | segundo | primer | demanda interna | consumo | primer trimestre | inversion | desaceleracion | pib | segundo trimestre | menor | tercer | mayor | tercer trimestre | dinamismo | algo,0.1479456412908961
oracion_min_80,14,k14_tema_07,presentacion | macroeconomico | internacional | consultas | presentacion internacional,presentacion | macroeconomico | internacional | consultas | presentacion internacional | presentacion macroeconomico | presentacion refiriendose | refiriendose | internacional consultas | retoma presentacion | retoma | interno | presentacion division | lamina | presentacion externo | destacados | macroeconomico consultas | hechos destacados | presentacion senalando | macroeconomico presentacion,0.02255856848118088
oracion_min_80,14,k14_tema_08,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | mercados | financieros | mercados financieros | paises | riesgo | condiciones | europa | financieras | monedas | externo | internacional | america latina | latina | china | economia,0.09177117600631128
oracion_min_80,14,k14_tema_09,ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | 16 | incorporandose | da paso | paso | habiendo | 16 00 | 00 | informa ministro | asistira,0.026888785493413975
oracion_min_80,14,k14_tema_10,precio | petroleo | cobre | precio petroleo | precios,precio | petroleo | cobre | precio petroleo | precios | precio cobre | caida | commodities | aumento | gasolina | alza | alimentos | us | combustibles | caida precio | internacional | mayor | importante | primas | materias,0.08403420401470652
oracion_min_80,14,k14_tema_11,cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | peso | cambio nominal | apreciado | depreciacion tipo | nivel | apreciacion tipo | efectos | depreciado | proyeccion | mayor | podria,0.05131038032529127
oracion_min_80,14,k14_tema_12,plazo | tasas | corto | interes | corto plazo,plazo | tasas | corto | interes | corto plazo | tasas interes | largo | largo plazo | mediano | mediano plazo | interes largo | mediano largo | bajas | inflacion corto | tasa interes | largas | anos | tasas largas | niveles | tasas crecimiento,0.05781027268700713
oracion_min_80,14,k14_tema_13,mercado | laboral | mercado laboral | meses | empleo,mercado | laboral | mercado laboral | meses | empleo | tasa | desempleo | ultimos | cuenta | salarios | ultimos meses | tasa desempleo | dinamismo | creacion | proximos | tasas | asalariado | trabajo | sin | proximos meses,0.12042169867581552
oracion_min_80,14,k14_tema_14,mes | ultimo | ultimo mes | ipom | registro,mes | ultimo | ultimo mes | ipom | registro | ultimo ipom | diciembre | septiembre | anterior | variacion | enero | pasado | mes anterior | marzo | mayo | noticias | mes septiembre | mes enero | junio | octubre,0.08409318531921182
intervencion,14,intervencion_tema_01,estados | unidos | estados unidos | america | unidos america,estados | unidos | estados unidos | america | unidos america | economias | europa | emergentes | china | euro | economias emergentes | paises | zona | zona euro | japon | economia | mercados | america latina | latina | tasas,0.13867966703291915
intervencion,14,intervencion_tema_02,presentacion | presentacion internacional | presentacion macroeconomico | consultas | presentacion division,presentacion | presentacion internacional | presentacion macroeconomico | consultas | presentacion division | internacional consultas | asistentes | internacional | presentacion prosiguiendo | prosiguiendo votacion | prosiguiendo | macroeconomico | preguntas | realizada division | presentacion realizada | votacion | estudios asistentes | realizada | division | division estudios,0.030594017670952652
intervencion,14,intervencion_tema_03,division | financiera | presidencia | division operaciones | operaciones financieras,division | financiera | presidencia | division operaciones | operaciones financieras | asesor | operaciones | politica financiera | division politica | investigacion | economista | senior | economista senior | financieras | secretario | investigacion economica | presidencia titular | reune bajo | bajo presidencia | ministro fe,0.03794889678589316
intervencion,14,intervencion_tema_04,reanuda | reanuda politica | 00 reanuda | 16 00 | 16,reanuda | reanuda politica | 00 reanuda | 16 00 | 16 | 00 | politica monetaria | monetaria | politica | incorporandose | incorporandose ministro | 30 reanuda | 15 30 | 30 | 15 | ella | subsecretario hacienda | subsecretario | hacienda | constancia,0.01941668951283832
intervencion,14,intervencion_tema_05,division estudios | estudios | division | opciones politica | estudios opciones,division estudios | estudios | division | opciones politica | estudios opciones | opciones | politica | solicita division | politica monetaria | monetaria | solicita | exposicion division | monetaria considerado | presentacion division | considerado | exposicion | asistentes | gerencia | gerencia division | fin opciones,0.060459779809999864
intervencion,14,intervencion_tema_06,aprueba texto | aprueba | levanta | comunicado levanta | texto comunicado,aprueba texto | aprueba | levanta | comunicado levanta | texto comunicado | texto | levanta 17 | comunicado | 17 | levanta 16 | 17 10 | 16 | 05 | 45 | 10 | 55 | levanta 18 | 40 | 35 | 15,0.013685113467957711
intervencion,14,intervencion_tema_07,ministro | ministro hacienda | hacienda | votacion | da paso,ministro | ministro hacienda | hacienda | votacion | da paso | paso votacion | da | paso | incorporandose | habiendo | asesor | habiendo ministro | presentacion division | incorporandose ministro | hacienda subrogante | proceso votacion | hacienda da | estudios habiendo | division | asesor ministro,0.04427225692283801
intervencion,14,intervencion_tema_08,politica | monetaria | tasa | politica monetaria | inflacion,politica | monetaria | tasa | politica monetaria | inflacion | tasa politica | base | puntos base | mantener | puntos | expectativas | 25 | anual | tpm | actividad | interes | mantener tasa | 25 puntos | meta | condiciones,0.1241634133856252
intervencion,14,intervencion_tema_09,consultas | exposicion | macroeconomico | internacional | macroeconomico consultas,consultas | exposicion | macroeconomico | internacional | macroeconomico consultas | da paso | presentacion internacional | interno | habiendo | paso | exposicion interno | paso exposicion | habiendo consultas | internacional da | internacional consultas | consultas ni | concerniente internacional | interno cargo | cargo macroeconomico | ni concerniente,0.04007615494172521
intervencion,14,intervencion_tema_10,senores consejeros | votacion | senores | consejeros proceder | consejeros,senores consejeros | votacion | senores | consejeros proceder | consejeros | proceder votacion | proceder | prosiguiendo | consecuencia deja | constancia acuerda | unanimidad senores | acuerda unanimidad | acuerda | prosiguiendo votacion | consejeros mantener | unanimidad | deja constancia | constancia | monetaria anual | deja,0.017312517510894795
intervencion,14,intervencion_tema_11,mes | politica monetaria | monetaria | politica | dia,mes | politica monetaria | monetaria | politica | dia | monetaria correspondiente | sesiones | reglamento | reglamento rige | rige sesiones | rige | inicio politica | correspondiente mes | conformidad reglamento | conformidad | inicio | correspondiente | da inicio | fija | internacional,0.03645159544757884
