intervencion_id,inicio,fin,fragmento
RPM-2005-01-11:24:1,0,354,"El Consejero señor Desormeaux, en relación a las conclusiones de los antecedentes presentados por el Gerente de Análisis Macroeconómico, señala que un tema que se ha discutido a través del Informe de Política Monetaria, pero que es bueno que se vea de nuevo, es aquel de la evolución del tipo de cambio nominal que tenemos prevista de aquí para adelante."
RPM-2005-01-11:45:1,0,184,"El señor Rodrigo Valdés señala que hay un proceso de edición de lo que se comunica, y recuerda que en ediciones pasadas, de los últimos meses, sí han habido opciones de 50 puntos base."
RPM-2005-01-11:48:1,0,463,"El Consejero señor Desormeaux expresa que resulta conveniente aclarar que mucho antes que se publique la Minuta de esta Acta va a estar disponible el Informe de Política Monetaria, que incursiona mucho más a fondo en todos estos temas y, de este modo, piensa que realmente va a ser dicho documento el que va a recibir el escrutinio público. En su opinión, no le parece que sea esta Acta lo que llame la atención sino que más bien el Informe de Política Monetaria."
RPM-2005-11-10:500:1,0,1055,"El Consejero señor Jorge Desormeaux agradece los antecedentes y el valioso análisis realizado por la Gerencia de División de Estudios. Señala que la principal pregunta que se debe contestar en el día de hoy es si existen o no antecedentes para alterar el curso de ajuste gradual, aunque sin pausas, de la tasa de política monetaria de los últimos meses, o éste debe ser modificado para asegurar la convergencia de la inflación al centro del rango meta en el mediano plazo. Para ello, se deben evaluar hasta qué punto los nuevos antecedentes modifican el diagnóstico esbozado en el último Informe de Política Monetaria. Los principales cambios observados en el plano internacional en los últimos meses, consisten, en primer lugar, en un importante ajuste al alza en las tasas de interés internacionales, a partir de niveles inusualmente bajos, y en segundo lugar, se aprecian mayores riesgos para la actividad y la inflación en los principales mercados a raíz del alza en el precio del petróleo y el agotamiento de brechas de capacidad en algunos mercados."
RPM-2005-11-10:500:1,2421,3668,"De hecho, la inflación subyacente, si bien muestra una tendencia creciente, aún se sitúa por debajo del 3% y es marginalmente inferior a la proyectada en el IPoM. Por otra parte, el alza de las tasas de mercado ha reducido el grado de expansividad de la política monetaria. Asimismo, las expectativas de inflación se han acercado al centro del rango meta, especialmente a plazos de más de un año. Esas expectativas centradas en torno a 3% son a su vez coherentes con una trayectoria de ajustes sucesivos de 25 puntos base. De este modo, si bien subsisten grados de incertidumbre mayores que en el pasado, en particular la posibilidad de un agotamiento más rápido de lo previsto de las brechas de capacidad en el plano interno, y un mayor riesgo inflacionario en el plano internacional, señala que la opción de aumentar en 25 puntos base la TPM en el día de hoy es la mejor alternativa disponible. En cambio, un alza de 50 puntos base podría dar cuenta de una emergencia en el plano inflacionario que no se desprende de los antecedentes disponibles, y que además el mercado no espera ni considera necesario. Por estas consideraciones, el señor Consejero señala que vota por aumentar la tasa de política monetaria en 25 puntos base en el día de hoy."
RPM-2005-11-10:503:2,0,142,"En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 85-01-051110-Tasa de Política Monetaria."
RPM-2006-01-12:527:1,0,1607,"ACTA CORRESPONDIENTE A LA SESIÓN DE POLÍTICA MONETARIA N° 87 celebrada el 12 de enero de 2006 En Santiago de Chile, a 12 de enero de 2006, siendo las 11:30 horas, se reúne el Consejo del Banco Central de Chile, bajo la presidencia del titular don Vittorio Corbo Lioi y con la asistencia del Vicepresidente don José De Gregorio Rebeco y de los Consejeros don Jorge Desormeaux Jiménez, don Manuel Marfán Lewis y don Enrique Marshall Rivera. Asiste el señor Ministro de Hacienda, don Nicolás Eyzaguirre Guzmán. Asisten también: Fiscal y Ministro de Fe Subrogante, don Juan Esteban Laval Zaldivar; Gerente General Interino, don Leonardo Hernández Tagle; Gerente de División Estudios, don Rodrigo Valdés Pulido; Gerente de División Operaciones Financieras, don Esteban Jadresic Marinovic; Gerente de División Política Financiera, don Luis Óscar Herrera Barriga; Gerente de Análisis Internacional, don Sergio Lehmann Beresi; Gerente de Análisis Macroeconómico, don Pablo García Silva; Gerente de Investigación Económica, don Klaus Schmidt-Hebbel Dunker; Gerente de Información e Investigación Estadística, don Ricardo Vicuña Poblete; Gerente de Comunicaciones, don Eduardo Arriagada Cardini; Gerente de Mercados Financieros Nacionales, don Beltrán De Ramón Acevedo; Asesora Macroeconómica del Ministerio de Hacienda, doña Bernardita Piedrabuena Keymer; Jefe Departamento Análisis de Coyuntura, don Enrique Orellana Cifuentes; Economista Sénior Gerencia de Investigación Económica; don Claudio Soto Gamboa; y Secretario General, don Jorge Court Larenas. Fecha Sesión de Política Monetaria del mes de julio de 2006."
RPM-2006-01-12:571:1,0,788,"El Consejero señor Jorge Desormeaux, manifiesta que en el Informe que ha entregado la Gerencia de División Estudios se señala, que desde la última reunión de política monetaria se han afianzado las favorables condiciones externas tanto en materia de actividad como de condiciones financieras y, en el plano interno, nos indica que la información más reciente sugiere que la desaceleración del tercer trimestre tenga un carácter transitorio, aunque en un plazo más largo la economía, se encamina hacia un crecimiento más cercano al potencial. Las condiciones financieras en Chile, por su parte, siguen siendo considerablemente expansivas, lo que se ve reflejado en un aumento del ritmo de crecimiento del crédito, mientras los agregados monetarios han vuelto a crecer a tasas muy elevadas."
RPM-2006-01-12:571:1,1150,2192,"Ello se relaciona sin duda con la credibilidad que tiene el compromiso de este Banco Central con su meta inflacionaria, después de cinco alzas de tasas consecutivas interrumpidas por una pausa en la reunión anterior. La posibilidad de cumplir con este compromiso por cierto, depende criticamente de la trayectoria futura de la tasa de política monetaria. Señala que de acuerdo a las estimaciones de la Gerencia de División Estudios, la trayectoria de la tasa de política monetaria que garantiza una convergencia de la inflación a la meta en nuestro horizonte de proyecciones, consulta alrededor de cinco alzas de 25 puntos base en los próximos doce meses y otras cuatro alzas de 25 puntos base, en los siguientes doce meses. Para los próximos doce meses entonces, la velocidad de ajuste promedio debería ser una de algo más de 30 puntos base por trimestre, o sea, un poco más de un alza de 25 puntos base por trimestre: ello sería consistente con la posibilidad de que, en esta ocasión, el Banco Central adopte una pausa detrás de otra pausa."
RPM-2006-01-12:571:1,2309,2943,"En primer lugar, porque si bien las condiciones internas y externas han cambiado respecto de los últimos trimestres del año pasado, no es fácil explicar dos pausas seguidas después de cinco alzas consecutivas. Señala, que esta acotación ha sido repetida por varios participantes en esta reunión y a ello se suma el hecho de que los agregados monetarios y el crédito se muestran algo exuberantes, lo que da cuenta del riesgo de que la política monetaria esté siendo más expansiva de lo que supone nuestro escenario central. Una evidencia en tal sentido, es la fuerte expansión que muestran las ventas de viviendas en los últimos meses."
