topico_modelo,nombre_auditado,tipo_componente,confianza_nombre,nombre_alternativo,justificacion_y_limite,etiqueta_automatica_top5,terminos_top20,ids_representativos,textos_representativos
tema_nmf_01,"Actividad, demanda y crecimiento trimestral",economico,alta,Ciclo interno de corto plazo,"Los términos y ejemplos cubren actividad, demanda, consumo, inversión, PIB y velocidades trimestrales.",trimestre | crecimiento | demanda | actividad | interna,trimestre | crecimiento | demanda | actividad | interna | segundo | primer | demanda interna | consumo | primer trimestre | inversion | desaceleracion | pib | segundo trimestre | menor | tercer | mayor | tercer trimestre | dinamismo | algo,RPM-2009-06-16:2583:1 | RPM-2011-02-17:3772:1 | RPM-2007-06-14:1295:1 | RPM-2010-07-15:3224:1 | RPM-2013-01-17:5295:1,"El Presidente señor José De Gregorio consulta por la magnitud de la corrección trimestre a trimestre, || El señor Claudio Soto afirma que la velocidad del cuarto trimestre del año pasado fue más bien baja, estimándose que se acelerará este trimestre y decaerá gradualmente con posterioridad. || El Consejero señor Jorge Desormeaux consulta en la misma dirección, cómo son las cifras en términos de velocidades de crecimiento para el segundo y tercer trimestre. || El Consejero señor Rodrigo Vergara plantea que el crecimiento de Chile también se desaceleraría el próximo año o a partir del segundo trimestre en adelante. || El Presidente señor Rodrigo Vergara destaca la fuerte corrección de la inversión para el primer trimestre del año en curso."
tema_nmf_02,"Mercado laboral, empleo y salarios",economico,alta,Condiciones del mercado laboral,"Empleo, desempleo, salarios y trabajo dominan; 'mercado' aislado puede ser ambiguo.",mercado | laboral | mercado laboral | meses | empleo,mercado | laboral | mercado laboral | meses | empleo | tasa | desempleo | ultimos | cuenta | salarios | ultimos meses | tasa desempleo | dinamismo | creacion | proximos | tasas | asalariado | trabajo | sin | proximos meses,RPM-2012-07-12:4925:1 | RPM-2010-06-15:3158:1 | RPM-2007-08-09:1376:1 | RPM-2015-06-11:6839:1 | RPM-2005-02-10:93:1,"El Vicepresidente señor Manuel Marfán consulta si la medición de la masa salarial considera solo el empleo asalariado o si también incluye el empleo total. || El señor Pablo García señala que el empleo total asciende 6,5 millones de personas || El Vicepresidente señor José De Gregorio acota que el mercado está en 4,8%. || El señor Alberto Naudon plantea que el empleo asalariado está creciendo muy por sobre 1%. || Agrega el Vicepresidente señor De Gregorio, que habría que ser cuidadoso en decir que la creación de empleo, a pesar de la cifra de desempleo, no indica debilidad en el mercado laboral, pero si hay un 9% de la población que está buscando trabajo."
tema_nmf_03,"Precios de commodities: petróleo, cobre y alimentos",economico,alta,Precios de materias primas,"Los términos y ejemplos son específicos de petróleo, cobre, gasolina, alimentos y commodities.",precio | petroleo | cobre | precio petroleo | precios,precio | petroleo | cobre | precio petroleo | precios | precio cobre | caida | commodities | aumento | gasolina | alza | alimentos | us | combustibles | caida precio | internacional | mayor | importante | primas | materias,RPM-2006-04-13:644:7 | RPM-2011-02-17:3756:1 | RPM-2011-02-17:3721:1 | RPM-2011-11-15:4419:1 | RPM-2011-03-17:3868:1,"Consulta el Consejero señor Marfán, por qué una combinación de aumento de precio del cobre y del precio del petróleo, significa un mejor ingreso disponible privado. || El Vicepresidente señor Manuel Marfán plantea que el precio actual del petróleo WTl tiene internalizada toda la información disponible sobre el conflicto de Medio Oriente y que, por lo tanto, no se puede esgrimir su costo geopolítico como causa de un potencial incremento futuro, porque no hay información adicional al respecto. Añade que durante la presente semana, el precio del petróleo WTl ha caído, a diferencia del precio del petróleo Brent. || El Presidente señor José De Gregorio consulta si el impacto en el precio del petróleo Brent obedece a que este, y no el petróleo WTI, debe ser transportado a través del Canal de Suez. || El Presidente señor José De Gregorio manifiesta su extrañeza respecto del comportamiento del precio del petróleo y de la gasolina. || El Presidente señor José De Gregorio expresa su conformidad con respecto a ese supuesto. En su opinión, este es relativamente conservador, ya que se sigue el espíritu de que el precio del petróleo, en general, afecta directamente a la gasolina, y si hay subsidios, son transitorios."
tema_nmf_04,Proceso técnico del staff y opciones de política,institucional_documental,media,Interacciones con divisiones técnicas,"Mezcla División Estudios, opciones, minuta y divisiones financiera/operaciones; no es un dominio económico único.",division | estudios | division estudios | gerencia | gerencia division,division | estudios | division estudios | gerencia | gerencia division | opciones | opciones politica | estudios opciones | operaciones | operaciones financieras | division operaciones | minuta | financieras | division politica | politica financiera | financiera | opcion | solicita division | solicita | politica,RPM-2006-06-15:719:1 | RPM-2011-08-18:4233:1 | RPM-2006-11-16:971:1 | RPM-2010-04-15:3071:1 | RPM-2008-10-09:2110:1,El Gerente de División Estudios indica que queda sólo una observación y con ella se termina su configuración. || El Gerente de División Estudios indica que ello obedece a una omisión || El Gerente de División Estudios señor Valdés manifiesta que lo señalado por el Consejero señor Marfán concuerda con lo señalado anteriormente. || El Presidente agradece los comentarios del Gerente de División Estudios || El Gerente de División Estudios señor Pablo García aclara que se trata solamente del caso de Chile.
tema_nmf_05,"Decisión, mantención y acuerdo de TPM",decision_formal,alta,Formalización de la decisión monetaria,"Los ejemplos principales son votos, acuerdos y mantención de la TPM, no política monetaria en sentido temático amplio.",politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes politica | comunicado | interes | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,RPM-2012-05-17:4849:1 | RPM-2005-11-10:503:2 | RPM-2013-12-12:5958:1 | RPM-2012-05-17:4849:2 | RPM-2013-01-17:5330:2,"El Presidente señor Rodrigo Vergara señala que en mérito de los fundamentos expuestos, su voto es por mantener la Tasa de Política Monetaria en 5% anual. || En mérito de lo anterior, el Consejo, por la unanimidad de sus miembros, adopta el siguiente Acuerdo: 85-01-051110-Tasa de Política Monetaria. || El Consejero señor Enrique Marshall expresa que por los motivos expuestos precedentemente, su decisión es mantener la Tasa de Política Monetaria en su nivel actual de 4,5% anual. || En consecuencia, el Presidente señor Rodrigo Vergara deja constancia que se acuerda por unanimidad de los señores Consejeros mantener la Tasa de Política Monetaria en 5,0% anual. || En consecuencia, el Presidente señor Rodrigo Vergara deja constancia que se acuerda por unanimidad de los señores Consejeros mantener la Tasa de Política Monetaria en 5% anual."
tema_nmf_06,Participación de Hacienda y secuencia de sesión,institucional_documental,alta,Intervenciones del Ministro de Hacienda,"Combina Ministro/Hacienda con incorporación, exposición, votación y reanudación de la sesión.",ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | 16 | incorporandose | da paso | paso | habiendo | 16 00 | 00 | informa ministro | asistira,RPM-2011-01-13:3708:1 | RPM-2011-02-17:3805:1 | RPM-2008-04-10:1777:1 | RPM-2006-04-13:629:1 | RPM-2008-08-14:1998:1,"El Presidente señor José De Gregorio agradece los comentarios del señor Beltrán de Ramón y, a continuación, concede la palabra al Ministro de Hacienda señor Felipe Larraín. || El Presidente señor José De Gregorio agradece los comentarios del señor Beltrán de Ramón y, a continuación, concede la palabra al Ministro de Hacienda señor Felipe Larraín. || El Presidente ofrece la palabra al Ministro de Hacienda, señor Andrés Velasco Brañes. || El señor Ministro de Hacienda, don Andrés Velasco, se incorpora a la Sesión de Consejo y formula sus excusas al señor Presidente por el retraso, agregando que se encontraba en un acto oficial acompañando a S.E. la señora Presidenta de la República. || El señor Ministro de Hacienda consulta cuál es la hipótesis respecto a esos antecedentes."
tema_nmf_07,Coyuntura reciente y comparación con el último IPoM,temporal_documental,media,Actualización mensual de antecedentes,"Meses, último mes, registros e IPoM indican actualización temporal; no identifica un sector económico.",mes | ultimo | ultimo mes | ipom | registro,mes | ultimo | ultimo mes | ipom | registro | ultimo ipom | diciembre | septiembre | anterior | variacion | enero | pasado | mes anterior | marzo | mayo | noticias | mes septiembre | mes enero | junio | octubre,RPM-2012-08-16:5001:1 | RPM-2008-07-10:1923:4 | RPM-2015-09-15:7010:1 | RPM-2011-09-15:4315:1 | RPM-2014-04-17:6163:1,"El Presidente consulta por el IMACEC esperado para el mes de julio último. || El Presidente señor José De Gregorio consulta si esta situación es posterior al último discurso de Ben Bernanke. || El Presidente señor Rodrigo Vergara consulta por la proyección de Imacec para el mes de agosto. || El Consejero señor Sebastián Claro consulta por las novedades respecto de la evolución del crédito y sus distintos componentes en el último mes. || El señor Matías Bernier precisa que se anticipa una variación de 0,16% para el mes de abril y de 0,22% para mayo."
tema_nmf_08,"Economías emergentes, desarrolladas y mercados globales",economico,alta,Entorno económico internacional comparado,"Contrasta emergentes y desarrolladas e incluye mercados, riesgo, monedas, Europa, América Latina y China.",economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas,economias | emergentes | economias emergentes | desarrolladas | economias desarrolladas | mercados | financieros | mercados financieros | paises | riesgo | condiciones | europa | financieras | monedas | externo | internacional | america latina | latina | china | economia,RPM-2011-04-12:3896:1 | RPM-2011-04-12:3898:1 | RPM-2010-07-15:3210:1 | RPM-2015-12-17:7164:1 | RPM-2009-10-13:2721:1,"El Presidente señor José De Gregorio llama la atención sobre el PMI manufacturero de las economías avanzadas y emergentes, por cuanto el primero es superior al de los países emergentes, donde se observa aún mucha slack capacity. || El Consejero señor Sebastián Claro consulta si los PMI de economías desarrolladas y emergentes son comparables. || El Consejero señor Enrique Marshall consulta qué son los High Yields en economías desarrolladas. || El Consejero señor Joaquín Vial plantea la importancia de analizar algunos indicadores agregados regionales de las economías latinoamericanas y de Asia emergente excluida China, con el fin de tener una visión más acabada de estas economías emergentes. || El Consejero señor Sebastián Claro sostiene que lo anormal es la situación de Israel y de Chile, ya que junto con República Checa muestran un patrón muy distinto de las demás economías."
tema_nmf_09,"Inflación, expectativas y meta",economico,alta,Dinámica y expectativas de inflación,"Inflación, expectativas, meta, subyacente, IPC y horizonte de política son coherentes entre términos y ejemplos.",inflacion | expectativas | expectativas inflacion | meta | meses,inflacion | expectativas | expectativas inflacion | meta | meses | subyacente | rango | medidas | torno | horizonte | ipc | inflacion subyacente | anual | precios | inflacion anual | rango meta | inflacionarias | horizonte politica | proyecciones | baja,RPM-2011-03-17:3871:1 | RPM-2009-06-16:2571:1 | RPM-2005-10-11:434:1 | RPM-2015-01-15:6583:2 | RPM-2011-03-17:3871:2,"El señor Luis Óscar Herrera es de opinión que este debiera ser “Indicador de expectativas de inflación” || El Presidente señor José De Gregorio indica que lo que sucede entonces es que las expectativas de inflación están muy altas. || El Presidente, señor Vittorio Corbo, manifiesta que el Banco Central trabajará para lograr esa meta. Agrega que los modelos del Banco son las brechas y las expectativas ancladas en 3%. || A juicio del Vicepresidente señor Enrique Marshall, es preciso ser cautelosos y no aparecer siguiendo la inflación subyacente. || y el Presidente señor José De Gregorio estima que debiera ser “índice de expectativas de inflación”."
tema_nmf_10,Tipo de cambio real y nominal,economico,alta,Apreciación y depreciación cambiaria,"Tipo de cambio, apreciación, depreciación, dólar y peso aparecen de forma consistente.",cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | peso | cambio nominal | apreciado | depreciacion tipo | nivel | apreciacion tipo | efectos | depreciado | proyeccion | mayor | podria,RPM-2010-10-14:3458:1 | RPM-2008-03-13:1719:1 | RPM-2011-06-14:4098:1 | RPM-2009-10-13:2741:1 | RPM-2012-07-12:4938:1,"El Vicepresidente señor Manuel Marfán consulta por el tipo de cambio utilizado para efectuar esta proyección. || El señor Presidente consulta si el tipo de cambio afecta a los costos marginales. || El señor Claudio Soto responde que es posible hacerlo y anticipa que se movería de una manera parecida al tipo de cambio bilateral del dólar. || El señor Andrés Velasco precisa que, en su opinión, el tipo de cambio no se apreció, y rebotó después. || El señor Claudio Soto continúa, informando que el tipo de cambio nominal tendió a apreciarse, tanto en lo que se refiere a la paridad peso/dólar como también en términos multilaterales. Agrega que el tipo de cambio real se encuentra en torno a promedios históricos."
