intervencion_id,meeting_id,fold,etiqueta_v3,es_relevante_v3,pred_a_historica,pred_b_historica,pred_historica,pred_a_v3,pred_b_v3,pred_v3,cambio_pred_a,cambio_pred_b,cambio_pred_final,acierto_fase_a,acierto_fase_b,efecto_reentrenamiento
RPM-2005-03-10:185:1,RPM-2005-03-10,1,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2005-03-10:193:1,RPM-2005-03-10,1,hawkish,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2005-03-10:197:1,RPM-2005-03-10,1,neutral,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2006-05-11:672:1,RPM-2006-05-11,1,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2006-05-11:673:1,RPM-2006-05-11,1,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2008-12-11:2238:1,RPM-2008-12-11,1,dovish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2008-12-11:2251:1,RPM-2008-12-11,1,dovish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2009-09-08:2711:2,RPM-2009-09-08,1,dovish,1,1,dovish,dovish,1,neutral,neutral,False,True,True,True,False,acierto_a_error
RPM-2013-08-13:5748:1,RPM-2013-08-13,1,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2006-10-12:936:1,RPM-2006-10-12,2,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2006-10-12:941:1,RPM-2006-10-12,2,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2009-10-13:2757:2,RPM-2009-10-13,2,dovish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2013-11-19:5900:1,RPM-2013-11-19,2,dovish,1,1,dovish,dovish,1,neutral,neutral,False,True,True,True,False,acierto_a_error
RPM-2015-01-15:6585:1,RPM-2015-01-15,2,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2005-01-11:3:1,RPM-2005-01-11,3,neutral,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2005-01-11:42:1,RPM-2005-01-11,3,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2005-01-11:56:1,RPM-2005-01-11,3,hawkish,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2006-09-07:873:1,RPM-2006-09-07,3,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2006-12-14:1017:1,RPM-2006-12-14,3,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2006-12-14:1019:1,RPM-2006-12-14,3,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2007-01-11:1049:3,RPM-2007-01-11,3,dovish,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2007-01-11:1050:1,RPM-2007-01-11,3,dovish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2009-08-13:2681:1,RPM-2009-08-13,3,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2008-03-13:1731:1,RPM-2008-03-13,4,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2008-03-13:1731:2,RPM-2008-03-13,4,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2013-03-14:5443:1,RPM-2013-03-14,4,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2015-06-11:6854:1,RPM-2015-06-11,4,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2015-06-11:6856:1,RPM-2015-06-11,4,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2015-06-11:6857:2,RPM-2015-06-11,4,neutral,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2015-12-17:7210:1,RPM-2015-12-17,4,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2015-12-17:7211:2,RPM-2015-12-17,4,dovish,1,1,dovish,dovish,1,neutral,neutral,False,True,True,True,False,acierto_a_error
RPM-2015-12-17:7212:1,RPM-2015-12-17,4,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2006-07-13:775:1,RPM-2006-07-13,5,hawkish,1,1,dovish,dovish,1,neutral,neutral,False,True,True,False,False,sin_cambio
RPM-2007-02-08:1102:1,RPM-2007-02-08,5,neutral,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2007-03-15:1161:1,RPM-2007-03-15,5,dovish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2007-12-13:1607:2,RPM-2007-12-13,5,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2008-05-08:1848:1,RPM-2008-05-08,5,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2011-09-15:4332:1,RPM-2011-09-15,5,neutral,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,False,sin_cambio
RPM-2015-08-13:6969:1,RPM-2015-08-13,5,dovish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
