intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2014-01-16:5975:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"se observa un panorama económico mundial más tranquilo y positivo, con alguna volatilidad en las economías emergentes",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-12-11:6530:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,transito procedimental: apertura de la exposicion del escenario interno,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-05-15:6233:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"si todo va de acuerdo con lo proyectado, a fines de año la Reserva Federal terminaría con la compra de activos",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-01-16:5971:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y concesion de la palabra (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-03-13:6093:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,suspension de la reunion (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-08-14:6369:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"si bien se ha registrado una desaceleración bastante significativa de inventarios, las encuestas sugieren que siguen siendo excesivos",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-10-16:6452:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,las expectativas de consumidores y empresarios volvieron a caer en el mes de septiembre,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-05-15:6214:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,sugería que el traspaso de la depreciación del tipo de cambio ha sido mayor que el previsto,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-07-15:6340:3,ia_ronda,dovish,0.00,0.90,0.10,-0.90,"acordó reducir la tasa de interés de política monetaria en 25 puntos base, a 3,75% anual",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-12-11:6547:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"su voto es por mantener la Tasa de Política Monetaria en 3,0% anual y el sesgo neutral del último Comunicado",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-06-12:6261:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,consulta por las razones que sustentan la corrección al alza del sector construcción,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2014-10-16:6451:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,"el escenario actual debe ser analizado con cautela, ya que ha sido muy afectado por los acontecimientos de las últimas dos semanas",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-08-13:6965:1,ia_ronda,neutral,0.00,0.35,0.65,-0.35,"la opción de subir la tasa es confusa y se justificaría únicamente en un contexto de desanclaje, que hoy no está presente",media,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6774:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"la tasa de desempleo se mantiene en 6,1%, en un contexto de baja creación de empleo",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-08-13:6921:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,agradecimiento y concesion de la palabra (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-10-15:7110:1,ia_ronda,hawkish,0.95,0.00,0.05,0.95,"acordó aumentar la tasa de interés de política monetaria en 25 puntos base, hasta 3,25%",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-06-11:6854:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,propone como única opción relevante mantener la TPM en 3% y el sesgo neutral,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7162:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,consulta por las causas detrás del ajuste tan menor en la proyección de inflación de la Reserva Federal para el año 2016,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-10-15:7097:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,reanudacion de sesion e incorporacion de autoridad (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-09-15:7021:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"el crecimiento del consumo privado está por debajo del aumento de los ingresos laborales, lo que es coherente con expectativas más pesimistas de los consumidores",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-08-13:6925:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"los riesgos más importantes para Chile provienen de China, no así de Europa y Estados Unidos de América",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-01-15:6550:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,"inicio de reunion, fijacion de fecha e invitacion a exponer (logistica)",escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7194:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,el Banco Central estaría sobreestimando el crecimiento de esa industria,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6772:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"anticipa que el IMACEC crecería en torno a 2,2% anual en los meses de abril y mayo",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-07-14:6888:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,tanto exportaciones como importaciones registrarán caídas anuales en términos de volumen,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-09-15:6996:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"cuando el nivel de inventarios ha sido excesivo, la única forma de ajuste ha sido la de llevar el precio a su costo marginal",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-11-12:7145:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,los riesgos respecto de las proyecciones internas siguen siendo más a la baja que al alza,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-04-16:6741:3,ia_ronda,neutral,0.00,0.00,1.00,0.00,,alta,0,reanudacion de sesion e incorporacion de representante (logistica),escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7211:2,ia_ronda,dovish,0.00,0.85,0.15,-0.85,sugieren que la política monetaria tiene amplio espacio para mantenerse acomodativa,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-06-11:6839:2,ia_ronda,neutral,0.00,0.00,1.00,0.00,todos los indicadores de empleo exhiben algún grado de recuperación,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-12-17:7192:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"estos datos se incorporan en el cálculo del indicador sintético, que corresponde al dato oficial",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-05-14:6773:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,"su incidencia total sobre el IMACEC de marzo, incluyendo las mermas ocasionadas en minería, comercio y otros sectores, fue de entre 0,4 y 0,5 puntos porcentuales",alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
RPM-2015-03-19:6671:1,ia_ronda,neutral,0.00,0.00,1.00,0.00,el ajuste que se está produciendo es el esperado y es relativamente moderado si se lo compara con episodios anteriores,alta,1,,escalado_t08_r12,v2,2026-09-15,ia_agente
