intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2014-03-13:6107:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Joaquín Vial Ruiz-Tagle,hawkish,1,hawkish,1,dovish,1,cambio_etiqueta,alta,"apoyar una baja en la tasa de política monetaria a 4%, en la medida que el Comunicado dé una señal clara de reducción del sesgo a la baja.","R4/R7. Mantiene hoy, pero adopta explícitamente un sesgo a la baja y acepta apoyar el recorte: D. La mantención frente al menú no puede convertirla en H.",1ad446041d5559bfa5b8884b1476abbbe171c87bceaf06660963f41c09c3618c,3249
RPM-2011-04-12:3955:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Matías Bernier Bórquez,neutral,0,neutral,0,neutral,1,cambio_relevancia,alta,"la swap sube, pero la swap en UF aumenta aún más y, por lo tanto, la compensación spot en un año cae en el margen","R3. El análisis de swaps y compensación inflacionaria es contexto monetario sustantivo evaluable: relevancia 1; no contiene dirección respaldada, por lo que permanece N.",722dd78e73547296a82db8c80278ae3f8458eaec1942c0dae8bc0d1c480978f0,344
RPM-2010-03-18:2971:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Sergio Lehmann Beresi,neutral,1,neutral,1,neutral,1,compatible,alta,"Añade que las tasas de desempleo siguen bastante planas, en general.","R4/R8. Revisión de la unidad completa: contiene contexto evaluable, pero no adopta, recomienda ni respalda una dirección monetaria doméstica propia; N.",2e9292ecbf97a61ed3e6b083833e5db32d4f42f95a5b0c0803af59e44d3a7b51,5377
RPM-2011-07-14:4127:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,José De Gregorio Rebeco,neutral,1,neutral,1,neutral,1,compatible,alta,"Argentina es, en este momento, la economía más sobrecalentada del mundo","R4/R8. Revisión de la unidad completa: contiene contexto evaluable, pero no adopta, recomienda ni respalda una dirección monetaria doméstica propia; N.",ff42174f9d1285160e7dee7882fcc3d0879c04976545e49d1222effc3d376982,237
RPM-2005-09-08:380:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Jorge Desormeaux Jiménez,neutral,1,neutral,1,neutral,1,compatible,alta,"la diferencia entre el PDBC 90 y la tasa de política monetaria no es solamente el reflejo de expectativa de alza de tasa, sino que también en parte corresponde a un premio exigido por los demandantes de papeles nominales","R4/R8. Revisión de la unidad completa: contiene contexto evaluable, pero no adopta, recomienda ni respalda una dirección monetaria doméstica propia; N.",14d526ff6a8bf622b1907ca5373691e96eba75353b3ba3596265c7c31262f164,825
RPM-2010-02-11:2905:2,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,José De Gregorio Rebeco,neutral,1,neutral,1,neutral,1,compatible,alta,"no es que la persistencia haya cambiado o desaparecido, sino que se produjo un shock que provocó un descenso de la inflación","R4/R8. Revisión de la unidad completa: contiene contexto evaluable, pero no adopta, recomienda ni respalda una dirección monetaria doméstica propia; N.",b62bd7514d093abcd57a21e97496ed503f013ab1d891770824057218de2ad008,497
RPM-2006-12-14:1010:4,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,"cuando el Gobierno impulsa la regla fiscal, lo que está implícitamente pensando es que cuando esa regla tiene un componente anticíclico éste es tenue y que, por lo tanto, la política monetaria debería jugar un rol anticíclico más fuerte","R4/R8. Revisión de la unidad completa: contiene contexto evaluable, pero no adopta, recomienda ni respalda una dirección monetaria doméstica propia; N.",44896b75d2b3bdab7977538857aaec8a6bf19bdcc8ec2641947386e19bd0f527,731
RPM-2008-09-04:2096:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,José De Gregorio Rebeco,hawkish,1,hawkish,1,hawkish,1,compatible,alta,"Le parece que la evolución de la economía mundial, con una desaceleración en el mundo desarrollado, es consistente con un escenario de mayor debilidad de los precios de materias primas, lo que al menos permite descartar, con alta probabilidad, alzas significativas.","R1/R5. La unidad completa respalda endurecimiento monetario doméstico mediante una acción o trayectoria al alza explícita; H sin depender del menú, nivel o fase.",5426b7817481cafd6caa818c16d5bce787d9ffbd8df8ec7213acf758576cc3a9,3497
RPM-2007-10-11:1504:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,"Consulta si sería posible construir un indicador de lo que estamos proyectando para tener un benchmark y poder decir si los efectos de segunda vuelta están siendo mayores, inferiores o iguales a lo que anticipábamos","R4/R8. Revisión de la unidad completa: contiene contexto evaluable, pero no adopta, recomienda ni respalda una dirección monetaria doméstica propia; N.",425d03f13b92293a5b882aaaa2e28764b60b7efe7926039a3d2ce110f07f3d1b,518
RPM-2011-07-14:4207:1,data/auditoria/revision_humana_v3/fuente_humana_v2_extraida.csv,Sebastián Claro Edwards,hawkish,1,hawkish,1,hawkish,1,compatible,alta,"el Consejero señor Sebastián Claro manifiesta que vota en esta oportunidad por mantener la tasa en 5,25%","R1/R5. La unidad completa respalda endurecimiento monetario doméstico mediante una acción o trayectoria al alza explícita; H sin depender del menú, nivel o fase.",de73a01d5f494a1e4763bda2d934b9fe0de0c4200bb4fc41bc8ada0a3ad93b37,3680
