intervencion_id,meeting_id,fold,etiqueta_v3,es_relevante_v3,pred_a_fase_b,pred_b_fase_b,pred_fase_b,pred_a_fase_c,pred_b_fase_c,pred_fase_c,cambio_pred_a,cambio_pred_b,cambio_pred_final,acierto_b,acierto_c,efecto_ampliacion
RPM-2008-07-10:1975:1,RPM-2008-07-10,1,neutral,1,1,neutral,neutral,1,hawkish,hawkish,False,True,True,True,False,acierto_a_error
RPM-2008-12-11:2249:1,RPM-2008-12-11,1,neutral,1,1,neutral,neutral,1,dovish,dovish,False,True,True,True,False,acierto_a_error
RPM-2012-03-15:4721:1,RPM-2012-03-15,2,neutral,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,False,sin_cambio
RPM-2013-11-19:5900:1,RPM-2013-11-19,2,dovish,1,1,neutral,neutral,1,dovish,dovish,False,True,True,False,True,error_a_acierto
RPM-2015-01-15:6585:1,RPM-2015-01-15,2,neutral,1,1,neutral,neutral,1,dovish,dovish,False,True,True,True,False,acierto_a_error
RPM-2005-01-11:3:1,RPM-2005-01-11,3,neutral,1,1,hawkish,hawkish,1,neutral,neutral,False,True,True,False,True,error_a_acierto
RPM-2007-01-11:1049:3,RPM-2007-01-11,3,dovish,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,True,error_a_acierto
RPM-2009-08-13:2681:1,RPM-2009-08-13,3,neutral,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,False,sin_cambio
RPM-2015-12-17:7210:1,RPM-2015-12-17,4,hawkish,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,True,False,acierto_a_error
RPM-2010-10-14:3491:1,RPM-2010-10-14,5,hawkish,1,1,dovish,dovish,1,hawkish,hawkish,False,True,True,False,True,error_a_acierto
RPM-2011-09-15:4332:1,RPM-2011-09-15,5,neutral,1,1,hawkish,hawkish,1,dovish,dovish,False,True,True,False,False,sin_cambio
