intervencion_id,etiqueta_recibida,etiqueta_adjudicada_v3,es_relevante_adjudicada_v3,confianza_adjudicacion,cita_literal_adjudicacion,fundamento_adjudicacion,resultado_revision,estado_revision
RPM-2014-12-11:6531:1,neutral,neutral,1,alta,"hay bastante consenso en que la TPM se mantendrá en 3% en esta Reunión, y visiones divergentes para el nivel que alcanzaría durante el año 2015.","Ratificada tras lectura de la unidad completa: La unidad es un extenso diagnóstico macro interno (actividad, consumo, inversión, mercado laboral, salarios, inflación y expectativas) que reporta el consenso de mercado de mantención de la TPM, sin adoptar ni recomendar dirección propia. Diagnóstico y expectativas ajenas sin sesgo direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2015-04-16:6747:1,neutral,neutral,1,alta,"concuerda con la recomendación de la Gerencia de División Estudios, votando por mantener la TPM en 3% y el tenor del Comunicado.","Ratificada tras lectura de la unidad completa: El Consejero vota por mantener la TPM en 3% y el tenor del Comunicado, señalando que no hay cambios sustantivos en la visión económica trasmitida en el IPoM, tras analizar riesgos externos (China, Grecia, Colombia y Perú) y buenas noticias en inflación local. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2008-02-07:1679:1,hawkish,hawkish,1,media,"vota por mantener la Tasa de Política Monetaria en 6,25%, y que el comunicado tenga un sesgo alcista.","Ratificada tras lectura de la unidad completa: El Consejero vota por mantener la TPM en 6,25% pero solicita explícitamente que el comunicado tenga un sesgo alcista, en un contexto de inflación elevada y preocupación por riesgos inflacionarios internacionales. Mantención con sesgo futuro al alza configura dirección hawkish según Codebook v3; confianza media por tratarse de mantención con sesgo y no de alza inmediata.",ratificada_v3,cerrado
RPM-2008-11-13:2173:1,hawkish,neutral,1,alta,El Consejo reafirma su compromiso de conducir la política monetaria de manera de reducir la elevada inflación actual hacia 3% en el horizonte de política.,"Mantiene la TPM y reafirma el compromiso general de convergencia de la inflación, sin alza, restricción explícita ni sesgo futuro direccional.",corregida_v3,cerrado
RPM-2015-11-12:7153:1,hawkish,hawkish,1,alta,"favorece la opción de mantener la tasa en 3,25% y el sesgo al alza.","Ratificada tras lectura de la unidad completa: El Vicepresidente favorece mantener la TPM en 3,25% con sesgo al alza, señalando que el impulso monetario debe continuar y que se requieren ajustes graduales de la TPM al alza en los próximos trimestres, con riesgos inflacionarios vigentes. Mantención con sesgo futuro al alza explícito configura dirección hawkish según Codebook v3.",ratificada_v3,cerrado
RPM-2012-09-13:5091:1,neutral,neutral,1,alta,la decisión que corresponde adoptar es la de mantener la Tasa de Política Monetaria en su nivel actual y también el sesgo en el Comunicado.,"Ratificada tras lectura de la unidad completa: El Vicepresidente comparte mantener la TPM y el sesgo del Comunicado, analizando las medidas de la Eurozona y las presiones inflacionarias de demanda internas, sin proponer alzas ni recortes. Mantención sin sesgo direccional propio: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2009-09-08:2711:1,neutral,dovish,1,alta,"la opción que mejor se acomoda a esta trayectoria en esta Reunión es la de mantener el estímulo monetario inalterado en su nivel actual, lo que significa mantener la TPM en 0,50% y la vigencia de la FLAP a 6 meses","Vota mantener explícitamente el estímulo monetario inalterado, la TPM mínima y la FLAP; sostener una postura declarada expansiva es D aunque no añada sesgo futuro.",corregida_v3,cerrado
RPM-2011-02-17:3767:1,neutral,neutral,1,media,"Consulta, al respecto, las razones por las cuales no se produce ese efecto.","Ratificada tras lectura de la unidad completa: El Consejero formula una consulta técnica sobre el crecimiento del gasto público y su base de comparación, sin adoptar ni recomendar dirección de tasa. Pregunta analítica sin resolución direccional: Neutral según Codebook v3.",ratificada_v3,cerrado
RPM-2007-12-13:1572:2,neutral,neutral,1,alta,se han acentuado las preocupaciones respecto a los efectos de la crisis subprime sobre el sistema financiero y sus consecuencias sobre el crecimiento de las economías.,"Ratificada tras lectura de la unidad completa: La unidad reporta contexto macroeconómico y financiero internacional (crisis subprime, acciones coordinadas de bancos centrales, expectativas de tasas en EE.UU., Japón y Zona Euro, actividad, inflación y commodities), sin adoptar ni recomendar dirección para la TPM en Chile. Diagnóstico externo sin conexión con orientación doméstica: Neutral.",ratificada_v3,cerrado
RPM-2014-08-14:6381:2,dovish,dovish,1,alta,no imprimir un decidido impulso monetario pone cada vez más en riesgo que la política monetaria llegue tarde en el cumplimiento de su objetivo inflacionario e induzca costos innecesarios a la economía.,"Ratificada tras lectura de la unidad completa: El Subsecretario de Hacienda sostiene que no imprimir un decidido impulso monetario pone en riesgo el cumplimiento del objetivo inflacionario, con holguras crecientes y presiones deflacionarias, y reporta expectativas de mercado de recortes de TPM. Ampliar impulso monetario configura dirección dovish explícita según Codebook v3.",ratificada_v3,cerrado
