intervencion_id,fold,etiqueta_ia,pred,foco_revision,extracto_verificado,nota_revision,metodo,fecha,etiqueta_modificada
RPM-2006-05-11:674:1,1,dovish,hawkish,pausa_vs_normalizacion,su voto es por mantener la tasa de política en 5.0%,El diagnóstico de normalización aporta H; la preferencia final es una pausa. Separar recomendación actual y escenario general.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2007-06-14:1305:1,1,hawkish,dovish,mantener_con_sesgo_alza,pero introducir claramente un sesgo al alza en el Comunicado,"Mantener aporta D, pero el sesgo al alza acompaña el voto. No convertir mantener en D automáticamente.",revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2005-04-07:215:1,2,dovish,hawkish,preferencia_vs_alternativa_tolerada,cree que sería mejor mantener la tasa de instancia monetaria,Prefiere mantener aunque tolera un alza de 25 puntos base. Distinguir preferencia de alternativa aceptable.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2009-10-13:2758:1,2,dovish,hawkish,actual_vs_revision_futura,"vota por mantener la TPM en 0,5%",Mantiene medidas excepcionales ahora; su revisión se plantea para el futuro. Influyen también fórmulas generales de evolución.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2011-08-18:4272:1,3,dovish,hawkish,objeto_y_politica_extranjera,es necesario quitar el sesgo restrictivo,"Las cifras incluyen CDS, tasas extranjeras y normalización fiscal. La recomendación monetaria local es pausa y retiro del sesgo restrictivo.",revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2006-09-07:867:1,3,dovish,hawkish,pasado_vs_recomendacion_actual,se justifica solamente la opción de mantener,El alza de 25 puntos base se narra como antecedente; la recomendación actual es mantener. Texto largo con horizontes distintos.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2006-12-14:1019:1,3,hawkish,dovish,rechazo_de_baja,le parece prematuro optar por una baja,Bajar y mantener contribuyen D aun al rechazar una baja; importa la opción frente a la cual se mantiene. Se conserva la referencia IA H.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2007-01-11:1057:1,3,dovish,hawkish,decimal_y_objeto,"acordó reducir la tasa de interés de política monetaria desde 5,25% a 5% anual","La reducción explícita aporta D; el token 25 procedente del decimal aporta H, junto a fórmulas del comunicado. No atribuir todo el error a un término.",revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2011-08-18:4280:1,3,dovish,hawkish,decimal_y_contexto,"acordó mantener la tasa de interés de política monetaria en 5,25% anual","El token 25 proviene del nivel de tasa, no de un incremento; el comunicado describe moderación y menores expectativas. No cambiar la etiqueta IA.",revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2008-02-07:1672:1,4,dovish,hawkish,objeto_y_atenuacion,una política levemente menos restrictiva,Alza se usa también para compensaciones y primas; la recomendación es menos restrictiva. Vincular verbo/objeto y modificadores.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2015-12-17:7210:1,4,hawkish,dovish,nivel_vs_cambio_y_objeto,se inclina por recomendar un aumento de 25 puntos base,Terreno expansivo puede coexistir con reducción del estímulo y una subida de TPM. Baja del crecimiento no equivale a bajar TPM.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2008-02-07:1684:1,4,dovish,hawkish,contrafactual_vs_voto,él hubiera sido partidario de subir la Tasa de Política Monetaria,Subir aparece en un contrafactual y en un horizonte posterior; el voto actual es mantener. No usar el verbo aislado.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2008-03-13:1731:2,4,hawkish,dovish,condicion_y_sesgo,manteniendo el sesgo al alza en el Comunicado,Alza condicionada a intervención cambiaria y mantenimiento con sesgo al alza. Caso complejo para regla automática; la referencia IA se conserva.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2015-12-17:7212:1,4,hawkish,dovish,menu_vs_voto,su voto es por aumentar la TPM en 25 puntos base,"Menciona mantener como alternativa y sesgo neutral, pero vota aumentar. Priorizar la opción respaldada sin descartar orientación futura.",revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2015-09-15:7045:1,5,hawkish,dovish,objeto_de_reducir,requerirá reducir el elevado estímulo monetario actual,Reducir estímulo es distinto de reducir TPM. La mantención actual convive con orientación de retiro de estímulo a corto plazo.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2007-12-13:1607:2,5,dovish,hawkish,preferencia_indirecta,la opción de esperar,Preferencia prudente e indirecta tras balance de riesgos. No basta con detectar vocabulario de inflación.,revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
RPM-2010-10-14:3491:1,5,hawkish,dovish,voto_vs_texto_general_e_intercepto,su voto es por subir la TPM en 25 puntos base,"La subida aporta H, pero el margen H-D textual +0,0863 no supera el intercepto -0,2067. El texto general y nombres aportan D; el resultado no lo explica un único término.",revision_ia_texto_completo_y_aportes_hd,2026-09-16,False
