intervencion_id,archivo_origen,actor,etiqueta_ia_original,es_relevante_ia_original,etiqueta_v2_vigente,es_relevante_v2_vigente,etiqueta_v3,es_relevante_v3,resultado_revision,confianza_revision,cita_literal_espacios_normalizados,fundamento_revision,sha256_texto,n_caracteres_texto
RPM-2005-09-08:390:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,hawkish,1,hawkish,1,hawkish,1,compatible,alta,es difícil justificar una opción distinta a aumentar la tasa de política monetaria en 25 puntos base,"Recomendación explícita de alza de 25 pb: H por dirección elegida, sin depender de la alternativa de 50 pb.",008768023921b7e303bab85f58f16273a06c086f1745735823931283ffc1fc96,7444
RPM-2005-11-10:474:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,"la evaluación de la tasa neutral ha ido cambiando en el tiempo, lo que está también detrás de estos cálculos","Compatible con N: metodología del impulso monetario (tasa corta/larga, expectativas). La unidad no adopta ni respalda una dirección monetaria propia.",2a4272495898fed555e640487b7e31d85cb317bce879f78374fd8c77f3fc090a,1198
RPM-2005-11-10:482:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,puede obedecer a problemas de liquidez de algunos bancos por el calce,Compatible con N: explicación técnica de movimientos de tasas cortas. La unidad no adopta ni respalda una dirección monetaria propia.,868212f20311d87e9a09b77831b2178244811ec9e66f377bd79931791b3dbf28,252
RPM-2005-11-10:492:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,hawkish,1,hawkish,1,hawkish,1,compatible,alta,"se puede justificar un aumento de 25 puntos base, considerando que es un movimiento coherente con continuar normalizando la política monetaria",Justifica explícitamente un alza de 25 pb para continuar la normalización: H.,f6493569f8910f9bd60c1931b738d93baf40ca89c80822d40c38b77735605d77,7568
RPM-2005-11-10:499:1,data/etiquetas/etiquetas_r13_tanda09.csv,Manuel Marfán Lewis,hawkish,1,hawkish,1,hawkish,1,compatible,alta,"la opción que considera apropiada para esta oportunidad, es elevar la Tasa de Política Monetaria en 25 puntos base",Voto explícito por elevar 25 pb: H.,ecf2557481aad174fcc46fcb2cf2aba208d8274cfef85191f570ba42100181db,3500
RPM-2005-11-10:503:1,data/etiquetas/etiquetas_r13_tanda09.csv,Vittorio Corbo Lioi,hawkish,1,hawkish,1,hawkish,1,compatible,alta,su voto también es por subir la tasa de política monetaria en 25 puntos base,Voto explícito por subir 25 pb: H.,f49e6455928135193e2978a6cedf2108ce5f6d73bc7e62740907fd25591e262b,2700
RPM-2005-12-13:525:1,data/etiquetas/etiquetas_r13_tanda09.csv,José De Gregorio Rebeco,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,media,Si bien cree que no se debe variar la política de aumento gradual de las tasas de interés,"La pausa actual no es D relativa: respalda conservar una trayectoria gradual de alzas; bajo el criterio propuesto, mantener con sesgo al alza es H.",f927097b58a0806771665f3515fc2b2bc837e4d1ec66494dd7ce25f55ce8c23b,2542
RPM-2006-02-09:582:1,data/etiquetas/etiquetas_r13_tanda09.csv,José De Gregorio Rebeco,neutral,1,neutral,1,neutral,1,compatible,alta,"le llama la atención un alza de 10%, por cuanto se esperaba para estas semanas una caída bastante brusca",Compatible con N: sorpresa por alza de 10% (dato de coyuntura). La unidad no adopta ni respalda una dirección monetaria propia.,59f654e56652c6501d4e5a7b739e29c841ab66733563f9c11d4dd6396dfb99d5,202
RPM-2006-02-09:583:1,data/etiquetas/etiquetas_r13_tanda09.csv,Vittorio Corbo Lioi,neutral,1,neutral,1,neutral,1,compatible,alta,el alza de los inventarios de cobre es producto de la acumulación de stocks de los consumidores,Compatible con N: explicación del alza de inventarios de cobre (China). La unidad no adopta ni respalda una dirección monetaria propia.,f1f9fe91025afde7d1cb5142277a35d314d4b3641f83963f2cfb1a2a19947f34,204
RPM-2006-02-09:595:1,data/etiquetas/etiquetas_r13_tanda09.csv,Consejo del Banco Central de Chile,neutral,0,neutral,0,neutral,0,compatible,alta,,Formalidad o trámite sin contenido monetario evaluable en la unidad; N y relevancia0 compatibles con v3.,ce2a80628f61388d2380bedfb67d893c5f1e0d685c2a884d543ebd051e44ce8c,83
RPM-2006-04-13:649:3,data/etiquetas/etiquetas_r13_tanda09.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,"el tipo de cambio estuviera en una trayectoria preocupante, entonces ése es un elemento que se debería también considerar",Compatible con N: reflexión metodológica: rol de expectativas de mercado y del tipo de cambio en decisiones. La unidad no adopta ni respalda una dirección monetaria propia.,32a9a2b6c019367aec5ce2417700b3dcac9dda07281c30aee3abd1ab70ce8280,2174
RPM-2006-05-11:672:1,data/etiquetas/etiquetas_r13_tanda09.csv,Jorge Desormeaux Jiménez,dovish,1,dovish,1,hawkish,1,cambio_etiqueta,media,la tasa de política monetaria aumente los próximos trimestres a un ritmo similar al que está implícito en la curva forward del mercado,"La pausa evita acelerar la normalización, pero el actor hace propio un escenario de aumentos posteriores; no corresponde D por comparación con el alza inmediata.",ff1d0bf03f2e45b1779ebbb86efacb2d7648a27d3d88e017c6f9bebbffbd54e9,2863
RPM-2006-06-15:722:1,data/etiquetas/etiquetas_r13_tanda09.csv,Rodrigo Valdés Pulido,neutral,1,neutral,1,neutral,1,compatible,alta,"hacer uno ahora es bueno internamente, pero esperar dos años es demasiado",Compatible con N: debate metodológico sobre empalme de series con el INE. La unidad no adopta ni respalda una dirección monetaria propia.,68bcb04f3df67930ee5f48d00d1f7661e747fbdefcc25ff36b12bbe271c08b3a,643
RPM-2006-06-15:737:1,data/etiquetas/etiquetas_r13_tanda09.csv,Manuel Marfán Lewis,dovish,1,dovish,1,neutral,1,cambio_etiqueta,alta,el costo de eventualmente equivocarse manteniendo la tasa,"Elige esperar por asimetría de costos, sin respaldar expansión ni sesgo futuro a la baja. Mantener frente a subir no convierte la postura en D.",178536a7df8ab01b55a608fa945b0be6f68eb915e738c084f92aa84410abe431,4701
RPM-2006-07-13:762:2,data/etiquetas/etiquetas_r13_tanda09.csv,Manuel Marfán Lewis,neutral,1,neutral,1,neutral,1,compatible,alta,si ese efecto tendería a desaparecer en términos significativos dentro del horizonte habitual de proyecciones,Compatible con N: consulta técnica: persistencia del efecto de la política sobre el tipo de cambio. La unidad no adopta ni respalda una dirección monetaria propia.,cf97f51608b8fb2b940d39899ea8b27f4cd4465a817430d8f7d29e7d66837345,782
RPM-2006-07-13:769:2,data/etiquetas/etiquetas_r13_tanda09.csv,Andrés Velasco Brañes,neutral,1,neutral,1,neutral,1,compatible,alta,el Gobierno se ceñirá tajantemente a la regla fiscal ya anunciada sin cambio alguno,"Compatible con N: política fiscal (regla, gasto próximo año) y proyecciones de cobre/Codelco. La unidad no adopta ni respalda una dirección monetaria propia.",e048b411f7df9d23ee5c8359e3574103c2da7812ac440668830642b170a822d7,2223
RPM-2006-07-13:770:3,data/etiquetas/etiquetas_r13_tanda09.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Formalidad o trámite sin contenido monetario evaluable en la unidad; N y relevancia0 compatibles con v3.,b3ff1817dea9eb7864319c60cbed66f234e770af2666d85364a14f898558c2ce,161
RPM-2006-07-13:780:4,data/etiquetas/etiquetas_r13_tanda09.csv,Consejo del Banco Central de Chile,hawkish,1,hawkish,1,hawkish,1,compatible,alta,"acordó aumentar la tasa de interés de política monetaria en 25 puntos base hasta 5,25% anual",Acuerdo institucional de alza de 25 pb y ajustes posteriores: H.,f03285ac0626964df421fc83673b9326939ae65c3813d4e06addd683b8163b02,2546
RPM-2006-08-10:816:1,data/etiquetas/etiquetas_r13_tanda09.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Formalidad o trámite sin contenido monetario evaluable en la unidad; N y relevancia0 compatibles con v3.,e61fdeea9e43c7b5f2445162919467b95c1eedf9f6951039a8884c339d4684c2,160
RPM-2006-08-10:826:1,data/etiquetas/etiquetas_r13_tanda09.csv,Vittorio Corbo Lioi,hawkish,1,hawkish,1,hawkish,1,compatible,media,lo prudente es reafirmar la política de ajustes más pausados en la Tasa de Política Monetaria,"Mantiene, pero respalda ajustes pausados y continuar la normalización: H por sesgo futuro al alza.",843d36f0fe8f18a5af968740cdc29df43afbca167d03ea892827f3a367010f71,3915
RPM-2006-09-07:866:1,data/etiquetas/etiquetas_r13_tanda09.csv,Vittorio Corbo Lioi,neutral,0,neutral,0,neutral,0,compatible,alta,,Formalidad o trámite sin contenido monetario evaluable en la unidad; N y relevancia0 compatibles con v3.,2a0bc0d39868715e5a96deea83990e1c30b7468d8f012354345be2ccdeb92cbe,159
