intervencion_id,tipo,cita_original,cita_reparada
RPM-2012-07-12:4904:1,capitalizacion_repuesta_desde_texto,"en lo referente a las monedas de economías emergentes, señala que tendieron a apreciarse durante el último mes.","En lo referente a las monedas de economías emergentes, señala que tendieron a apreciarse durante el último mes."
RPM-2010-04-15:3068:1,elipsis_no_literal_retirada,el Consejo señaló que las proyecciones incorporaban el supuesto de que la política monetaria continuaría siendo muy estimulativa en los próximos trimestres y que hacia fines del horizonte de proyección la TPM convergería a un nivel similar al que arrojaba la Encuesta de Expectativas Económicas de...,el Consejo señaló que las proyecciones incorporaban el supuesto de que la política monetaria continuaría siendo muy estimulativa en los próximos trimestres y que hacia fines del horizonte de proyección la TPM convergería a un nivel similar al que arrojaba la Encuesta de Expectativas Económicas de
RPM-2007-06-14:1304:1,capitalizacion_repuesta_desde_texto,"en suma, el Consejero señor Enrique Marshall indica que su voto es por mantener la Tasa de Política Monetaria en 5,0%.","En suma, el Consejero señor Enrique Marshall indica que su voto es por mantener la Tasa de Política Monetaria en 5,0%."
RPM-2014-07-15:6298:1,capitalizacion_repuesta_desde_texto,"en materia de política monetaria, destaca el predominio de las mantenciones de las tasas rectoras","En materia de política monetaria, destaca el predominio de las mantenciones de las tasas rectoras"
RPM-2015-04-16:6713:1,capitalizacion_repuesta_desde_texto,"el Presidente señor Rodrigo Vergara enfatiza la importancia de analizar el tema de Grecia, que está en una situación crítica","El Presidente señor Rodrigo Vergara enfatiza la importancia de analizar el tema de Grecia, que está en una situación crítica"
RPM-2008-05-08:1817:1,transcripcion_repuesta_desde_texto,"la evaluación del Consejo, apoyado en otras medidas, es que estas expectativas siguen siendo coherentes con la convergencia de la inflación a 3% en el horizono de dos años","la evaluación del Consejo, apoyado en otras medidas, es que estas expectativas siguen siendo coherentes con la convergencia de la inflación a 3% en el horizonte de dos años"
RPM-2007-10-11:1509:1,capitalizacion_repuesta_desde_texto,"en conclusión, señala el señor Gerente, que sugiere mantener la Tasa de Política Monetaria en su nivel actual.","En conclusión, señala el señor Gerente, que sugiere mantener la Tasa de Política Monetaria en su nivel actual."
RPM-2013-03-14:5407:1,capitalizacion_repuesta_desde_texto,"en lo atinente a política monetaria, consigna el predominio de las decisiones de mantener las tasas rectoras, así como las rebajas de 25 puntos base efectuadas en Hungría y Colombia, y de 50 puntos base en México.","En lo atinente a política monetaria, consigna el predominio de las decisiones de mantener las tasas rectoras, así como las rebajas de 25 puntos base efectuadas en Hungría y Colombia, y de 50 puntos base en México."
RPM-2013-02-14:5349:3,capitalizacion_repuesta_desde_texto,"en lo atinente a política monetaria, consigna el predominio de las decisiones de mantener las tasas rectoras; las bajas de 25 puntos base efectuadas en India, Hungría, Colombia","En lo atinente a política monetaria, consigna el predominio de las decisiones de mantener las tasas rectoras; las bajas de 25 puntos base efectuadas en India, Hungría, Colombia"
RPM-2007-04-12:1184:2,capitalizacion_repuesta_desde_texto,las expectativas para la tasa de política monetaria indican que ésta se mantendría en su nivel actual durante este año y gran parte del próximo,Las expectativas para la tasa de política monetaria indican que ésta se mantendría en su nivel actual durante este año y gran parte del próximo
RPM-2007-02-08:1076:1,capitalizacion_repuesta_desde_texto,"las expectativas para la tasa de política monetaria se ajustaron al escenario de inflación del Informe, anticipándose una prolongada mantención de ella","Las expectativas para la tasa de política monetaria se ajustaron al escenario de inflación del Informe, anticipándose una prolongada mantención de ella"
RPM-2005-10-11:445:1,capitalizacion_repuesta_desde_texto,"en suma, vota por elevar la tasa de Política Monetaria en 25 puntos base","En suma, vota por elevar la tasa de Política Monetaria en 25 puntos base"
RPM-2013-05-16:5549:1,elipsis_no_literal_retirada,"el Banco de Israel fue muy explícito en atribuir al tema cambiario la razón que justifica reducir su tasa de instancia, mientras que por su parte, el Banco de la Reserva de Australia manifestó que su decisión obedeció a la existencia de un cierto grado de discordancia entre el tipo de cambio y el...","el Banco de Israel fue muy explícito en atribuir al tema cambiario la razón que justifica reducir su tasa de instancia, mientras que por su parte, el Banco de la Reserva de Australia manifestó que su decisión obedeció a la existencia de un cierto grado de discordancia entre el tipo de cambio y el"
RPM-2012-08-16:4979:1,capitalizacion_repuesta_desde_texto,"en materia de política monetaria, destaca el amplio predominio del mantenimiento de las tasas rectoras y el hecho que Colombia sorprendió al mercado al acordar un recorte de 25 puntos base","En materia de política monetaria, destaca el amplio predominio del mantenimiento de las tasas rectoras y el hecho que Colombia sorprendió al mercado al acordar un recorte de 25 puntos base"
RPM-2006-11-16:946:1,capitalizacion_repuesta_desde_texto,"en términos de tasa de política monetaria, indica el señor Lehmann que se han observado movimientos durante el mes","En términos de tasa de política monetaria, indica el señor Lehmann que se han observado movimientos durante el mes"
