intervencion_id,metodo,etiqueta,prob_hawkish,prob_dovish,prob_neutral,score,frase_justificante,confianza,es_relevante,nota,ronda,version_codebook,fecha,etiquetador
RPM-2007-01-11:1043:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,las proyecciones están construidas mecánicamente con una regla de política que incluye una baja de tasas de entre 50 y 55 puntos base en los próximos meses,alta,1,explica supuestos clave de las proyecciones (regla mecánica con bajas próximas),enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-01-11:1045:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,las cifras de desempleo del INE desde el punto de vista nacional son una muy buena noticia,alta,1,defiende la medición del INE; no hay antecedentes de sesgo en el desempleo,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-01-11:1054:1,ia_ronda,hawkish,0.7,0.0,0.3,0.7,"vota por la mantención de la tasa de política monetaria en su nivel actual de 5,25%",alta,1,voto contra el recorte de enero-2007 (opciones -25/mantener): esperar más información,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-02-08:1090:4,ia_ronda,neutral,0.0,-0.0,1.0,0.0,parecería más adecuado mantener el sesgo neutral,alta,1,opciones del staff (feb-2007): -25 o mantener sin inclinación; expectativa unánime de mantención,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-02-08:1102:1,ia_ronda,hawkish,0.65,0.0,0.35,0.65,la opción de política de mantener la tasa de política monetaria sea la más apropiada,alta,1,vota mantener contra recorte en feb-2007; comunicado neutral similar a enero,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-03-15:1117:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,pivotea desde 62% para arriba y es una de las razones para tenerlo como escenario de riesgo,alta,1,curvas de cobre y WTI; motivo del escenario de riesgo del petróleo,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-03-15:1123:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,"los riesgos hoy en día están hacia abajo con respecto a la actividad, que también existe preocupación en los mercados accionarios",alta,1,"lectura: subprime y desaceleración USA vs inflación, riesgos en ambas direcciones",enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-03-15:1134:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,no le hace sentido la información que se está entregando,alta,1,cuestiona lectura de IMACEC/manufactura e importaciones de consumo,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-03-15:1161:1,ia_ronda,dovish,0.0,0.85,0.15,-0.85,hay razones y espacio suficientes para justificar un recorte de 25 puntos base,alta,1,Ministro Velasco: argumentos del staff a favor de la baja le parecen abrumadores,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-04-12:1218:1,ia_ronda,hawkish,0.7,0.0,0.3,0.7,vota por la mantención de la tasa de política monetaria en su nivel actual,alta,1,vota mantener contra recorte (abr-2007): riesgos al alza consolidándose; esperar al IPoM,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-05-10:1246:1,ia_ronda,neutral,0.0,-0.0,1.0,0.0,constituye para él uno de los aspectos más significativos de la coyuntura internacional,alta,1,términos de intercambio: Perú/Colombia se fortalecen sin shocks equivalentes,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-05-10:1251:3,ia_ronda,neutral,0.0,-0.0,1.0,0.0,,alta,0,trámite: solicita presentación de opciones,enriquecido_t10_r14,v2,2026-09-16,ia_agente
RPM-2007-08-09:1394:1,ia_ronda,hawkish,0.8,0.0,0.2,0.8,lo que le lleva a recomendar un incremento de 25 puntos base en la tasa de política monetaria,alta,1,"Velasco: +25 moderado evitando sobrerreacción; fenómeno de costos, no de demanda",enriquecido_t10_r14,v2,2026-09-16,ia_agente
