intervencion_id,etiqueta_recibida,etiqueta_adjudicada_v3,fundamento_adjudicacion
RPM-2008-11-13:2173:1,hawkish,neutral,"Mantiene la TPM y reafirma el compromiso general de convergencia de la inflación, sin alza, restricción explícita ni sesgo futuro direccional."
RPM-2009-09-08:2711:1,neutral,dovish,"Vota mantener explícitamente el estímulo monetario inalterado, la TPM mínima y la FLAP; sostener una postura declarada expansiva es D aunque no añada sesgo futuro."
RPM-2007-02-08:1090:6,hawkish,neutral,Elige mantener la TPM. El diagnóstico de mayor inflación no permite convertir la mantención en H sin restricción o sesgo al alza explícito.
RPM-2005-08-11:314:1,neutral,hawkish,La exposición respalda una progresiva normalización del estímulo monetario vigente como ingrediente central de las proyecciones; es retiro de expansión respaldado.
RPM-2008-12-11:2248:1,neutral,dovish,"Vota mantener e incorporar explícitamente un sesgo a la baja, anticipando relajamiento monetario; el sesgo futuro respaldado determina D."
RPM-2014-06-12:6292:1,neutral,dovish,"Vota mantener una TPM que la propia unidad declara expansiva, comparte que podrían requerirse nuevos estímulos y conserva el comunicado; sostiene expansión explícita."
RPM-2007-10-11:1484:1,hawkish,neutral,"Reporta expectativas de mercado de futuras alzas, sin adoptarlas ni recomendarlas como orientación propia."
RPM-2007-05-10:1259:1,hawkish,neutral,Vota mantener sin sesgo direccional; crecimiento e inflación son diagnóstico y no autorizan inferir H.
RPM-2006-08-10:825:1,hawkish,neutral,"Vota mantener y pausar el ciclo de alzas. Terminar o pausar un sesgo restrictivo, sin adoptar uno bajista, es N."
RPM-2007-02-08:1093:1,hawkish,neutral,"Menciona ajustes adicionales de hasta 75 puntos base, pero no especifica su signo; la dirección no se completa desde brechas o contexto histórico."
RPM-2015-02-12:6628:2,dovish,neutral,"Afirma que hay espacio para una política expansiva, pero no adopta ni recomienda una acción o trayectoria; capacidad de actuar no equivale a orientación respaldada."
RPM-2006-08-10:827:1,hawkish,neutral,El acuerdo mantiene la TPM y habla de ajustes pausados sin indicar su signo. Inflación y condiciones expansivas no permiten completar una dirección invisible.
RPM-2009-01-08:2285:1,dovish,neutral,"Formula una consulta e ilustra trayectorias hipotéticas del modelo, aclarando que no afirma si el ejercicio está bien o mal; no respalda una baja propia."
RPM-2011-08-18:4268:1,dovish,neutral,"Recomienda mantener, eliminar el sesgo restrictivo y adoptar orientación neutral. Retirar el sesgo al alza sin adoptar sesgo a la baja es N."
RPM-2006-10-12:940:1,dovish,neutral,"Vota mantener y prolongar la tasa inalterada, sin declarar que esa tasa sea expansiva ni adoptar sesgo a la baja; menor inflación no asigna dirección por inferencia."
