intervencion_id,etiqueta_humana,etiqueta_adjudicada_v3,fundamento_adjudicacion
RPM-2006-10-12:935:1,dovish,neutral,Retirar el sesgo al alza y mencionar que el próximo cambio podría ser a la baja no adopta un sesgo bajista; mantener sin nueva dirección es N.
RPM-2008-07-10:1962:1,hawkish,neutral,"Afirma que se requeriría una respuesta monetaria, pero no identifica su dirección; la inflación no permite inferir H por sí sola."
RPM-2006-09-07:871:1,dovish,neutral,Señalar que la normalización estaría llegando a su fin no respalda expansión ni recorte; termina un sesgo restrictivo sin adoptar uno bajista.
RPM-2008-04-10:1780:1,hawkish,neutral,"Vota mantener y reafirma un compromiso antiinflacionario general, sin alza, restricción explícita ni sesgo futuro direccional."
RPM-2009-11-12:2793:1,dovish,hawkish,Recomienda anunciar el acortamiento gradual y término de la FLAP. La acción propia retira una facilidad expansiva documentada; evitar sobrerreacciones no cambia su signo.
RPM-2008-10-09:2127:1,hawkish,neutral,"Mantiene la TPM y habla de ajustes adicionales sin indicar su signo, condicionando decisiones a nueva información; no se infiere alza desde la inflación."
RPM-2007-11-13:1562:1,hawkish,neutral,"Recomienda mantener y solo dice que habría que actuar si empeoran expectativas, sin especificar acción o dirección."
RPM-2007-08-09:1365:2,hawkish,neutral,"Describe inflación y expectativas de mercado de futuras alzas, pero no adopta ni recomienda esa trayectoria como propia."
RPM-2007-02-08:1092:2,dovish,neutral,"Recomienda mantener y observar para resolver contradicciones; materializar recortes queda como alternativa, no como orientación propia respaldada."
RPM-2009-05-07:2510:4,dovish,neutral,Es un cálculo descriptivo de Regla de Taylor solicitado por el Presidente; no recomienda bajar la TPM.
RPM-2008-05-08:1849:1,hawkish,neutral,"El acuerdo mantiene la TPM y deja cualquier cambio futuro sujeto a nueva información, sin dirección explícita."
RPM-2012-02-14:4612:1,hawkish,neutral,"Diagnostica menor probabilidad de holguras y menciona implicancias, pero no formula una acción ni dirección monetaria."
RPM-2011-04-12:3962:1,hawkish,neutral,"Describe presiones inflacionarias internas y normalización en economías extranjeras, sin adoptar una recomendación para la TPM chilena."
RPM-2010-02-11:2940:1,hawkish,neutral,"Señala un riesgo para percepción de inflación, sin conectar ese diagnóstico con una acción o sesgo monetario propio."
RPM-2015-08-13:6957:1,hawkish,neutral,Cualifica un riesgo de desanclaje y excluye una acción inminente; discutir el riesgo no equivale a respaldar endurecimiento.
RPM-2007-02-08:1090:7,dovish,neutral,Considera que una reducción adicional no es urgente y que los antecedentes no apuntan en dirección evidente; no respalda un recorte futuro.
RPM-2009-07-09:2631:1,dovish,neutral,"Afirma que la tasa no está donde debería, pero no dice si debe subir o bajar; inferir baja desde el output gap añadiría dirección invisible."
RPM-2008-02-07:1685:1,hawkish,neutral,"Mantiene la TPM y no descarta ajustarla nuevamente, pero no especifica el signo del eventual ajuste; el diagnóstico inflacionario no asigna H."
