ngrama,senal,justificacion,metodo,version,fecha,alcance
adopta,sin_direccion,Fórmula de adopción de acuerdo: los ejemplos incluyen tanto aumentos como recortes.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
bajar,contextual,"Falta identificar qué disminuye: también aparece al describir tasas de instrumentos financieros, sin postura TPM.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
haberse,sin_direccion,Auxiliar verbal presente en argumentos de signos distintos; no codifica postura.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
idea,sin_direccion,Sustantivo genérico: idea de normalización o de recuperación; asociación H no implica dirección.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
inusuales,contextual,"Adjetivo de movimientos de precios; describe sorpresas, sin recomendación por sí mismo.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
merito,sin_direccion,Conector de fundamentación o acuerdo; aparece en decisiones de alza y de mantención/recorte.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
monetaria,contextual,"Identifica el tema; no distingue expansión, restricción ni diagnóstico.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
muchos,sin_direccion,"Cuantificador genérico de factores, fenómenos o países.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
no,contextual,"Negador, no postura. Se usa como modificador local, sin invertir automáticamente la etiqueta.",revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
pareciera,sin_direccion,Modal de incertidumbre; no especifica el signo del argumento.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
patrones,contextual,Descripción de regularidades históricas; no indica una acción de política.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
politica,contextual,Tema general; puede referirse a política monetaria o financiera sin tomar posición.,revision_ia_contextos_descubrimiento,v1,2026-09-16,"Tres contextos de descubrimiento; no revisión humana. Señal de frase, no etiqueta de intervención."
